epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,12,,,,,,0.48641303181648254,1.4527087211608887
0,12,,,0.24123337864875793,1.7159215211868286,,,
1,25,,,,,,0.6277173757553101,1.2265607118606567
1,25,,,0.49093106389045715,1.4674004316329956,,,
2,38,,,,,,0.573369562625885,1.0140472650527954
2,38,,,0.546100378036499,1.2163418531417847,,,
3,51,,,,,,0.6942934989929199,0.7999795079231262
3,51,,,0.6532648205757141,0.9732900857925415,,,
4,64,,,,,,0.8274456262588501,0.5894495248794556
4,64,,,0.7704050540924072,0.7357500791549683,,,
5,77,,,,,,0.895380437374115,0.37599310278892517
5,77,,,0.8730350732803345,0.49485597014427185,,,
6,90,,,,,,0.9103260636329651,0.26491183042526245
6,90,,,0.9292623996734619,0.28747305274009705,,,
7,103,,,,,,0.9320651888847351,0.18285052478313446
7,103,,,0.9566203355789185,0.16929732263088226,,,
8,116,,,,,,0.948369562625885,0.15708012878894806
8,116,,,0.9708282947540283,0.10964242368936539,,,
9,129,,,,,,0.94701087474823,0.16946090757846832
9,129,,,0.978234589099884,0.07844788581132889,,,
10,142,,,,,,0.95652174949646,0.12268498539924622
10,142,,,0.9823155999183655,0.06350399553775787,,,
11,155,,,,,,0.95652174949646,0.1222381666302681
11,155,,,0.9847339987754822,0.051731307059526443,,,
12,168,,,,,,0.9660326242446899,0.09753606468439102
12,168,,,0.9876058101654053,0.0451468825340271,,,
13,181,,,,,,0.95652174949646,0.12232493609189987
13,181,,,0.9901753067970276,0.03803021460771561,,,
14,194,,,,,,0.9551630616188049,0.12574326992034912
14,194,,,0.9910822510719299,0.030684998258948326,,,
15,207,,,,,,0.95652174949646,0.1305508315563202
15,207,,,0.9924425482749939,0.026627235114574432,,,
16,220,,,,,,0.9619565010070801,0.11926719546318054
16,220,,,0.995012104511261,0.023426678031682968,,,
17,233,,,,,,0.9619565010070801,0.11525561660528183
17,233,,,0.9941052198410034,0.020295826718211174,,,
18,246,,,,,,0.9524456262588501,0.17280276119709015
18,246,,,0.9956166744232178,0.01873687095940113,,,
19,259,,,,,,0.970108687877655,0.10387814790010452
19,259,,,0.995012104511261,0.016657842323184013,,,
20,272,,,,,,0.9660326242446899,0.10950477421283722
20,272,,,0.9974304437637329,0.012139934115111828,,,
21,285,,,,,,0.970108687877655,0.10877805203199387
21,285,,,0.9983373880386353,0.009923456236720085,,,
22,298,,,,,,0.9619565010070801,0.1513931006193161
22,298,,,0.9987908005714417,0.008276453241705894,,,
23,311,,,,,,0.9660326242446899,0.12982454895973206
23,311,,,0.998941957950592,0.00774169759824872,,,
24,324,,,,,,0.9714673757553101,0.1138276532292366
24,324,,,0.9992442727088928,0.006597504019737244,,,
25,337,,,,,,0.9524456262588501,0.23038248717784882
25,337,,,0.9993954300880432,0.005405697971582413,,,
26,350,,,,,,0.9728260636329651,0.12029380351305008
26,350,,,0.9984884858131409,0.007875881157815456,,,
27,363,,,,,,0.9646739363670349,0.1397634595632553
27,363,,,0.9987908005714417,0.00575160700827837,,,
28,376,,,,,,0.9660326242446899,0.161933034658432
28,376,,,0.9996976852416992,0.004186857491731644,,,
29,389,,,,,,0.960597813129425,0.18110838532447815
29,389,,,0.9995465278625488,0.003986132796853781,,,
30,402,,,,,,0.9660326242446899,0.1555352360010147
30,402,,,0.9998488426208496,0.0030362678226083517,,,
31,415,,,,,,0.9660326242446899,0.14480680227279663
31,415,,,1.0,0.0026190767530351877,,,
32,428,,,,,,0.9660326242446899,0.15307027101516724
32,428,,,1.0,0.0020111138001084328,,,
33,441,,,,,,0.9660326242446899,0.1613328605890274
33,441,,,1.0,0.001667575677856803,,,
34,454,,,,,,0.9660326242446899,0.16938993334770203
34,454,,,1.0,0.001482263207435608,,,
35,467,,,,,,0.967391312122345,0.15360328555107117
35,467,,,1.0,0.0013203361304476857,,,
36,480,,,,,,0.9646739363670349,0.17981205880641937
36,480,,,1.0,0.0012974009150639176,,,
37,493,,,,,,0.9660326242446899,0.17461039125919342
37,493,,,1.0,0.0011568056652322412,,,
38,506,,,,,,0.9660326242446899,0.1630410999059677
38,506,,,1.0,0.0011311800917610526,,,
39,519,,,,,,0.967391312122345,0.16293278336524963
39,519,,,0.9998488426208496,0.0011622681049630046,,,
40,532,,,,,,0.9646739363670349,0.1893933266401291
40,532,,,1.0,0.0010468832915648818,,,
41,545,,,,,,0.9660326242446899,0.18021689355373383
41,545,,,1.0,0.0008716671145521104,,,
42,558,,,,,,0.9660326242446899,0.17577646672725677
42,558,,,1.0,0.0008137088734656572,,,
43,571,,,,,,0.9660326242446899,0.18406352400779724
43,571,,,1.0,0.0007567925495095551,,,
44,584,,,,,,0.9646739363670349,0.18684804439544678
44,584,,,1.0,0.0007336272392421961,,,
45,597,,,,,,0.9660326242446899,0.18181753158569336
45,597,,,1.0,0.0007009880500845611,,,
46,610,,,,,,0.9646739363670349,0.18900348246097565
46,610,,,1.0,0.0006431712536141276,,,
47,623,,,,,,0.967391312122345,0.1791044920682907
47,623,,,1.0,0.0006433307426050305,,,
48,636,,,,,,0.9660326242446899,0.19456851482391357
48,636,,,1.0,0.0005792868905700743,,,
49,649,,,,,,0.967391312122345,0.1892366260290146
49,649,,,1.0,0.0005975988460704684,,,
,0,,,,,1734.9888427257538,,
50,650,0.9392602443695068,0.2748660743236542,,,,,
