epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,3,,,,,,0.26222825050354004,1.6946461200714111
0,3,,,0.1638452261686325,1.782993197441101,,,
1,7,,,,,,0.34103259444236755,1.5628023147583008
1,7,,,0.2740326523780823,1.723602056503296,,,
2,11,,,,,,0.3913043439388275,1.4517308473587036
2,11,,,0.34038692712783813,1.6477936506271362,,,
3,15,,,,,,0.51222825050354,1.3737847805023193
3,15,,,0.39918380975723267,1.558608055114746,,,
4,19,,,,,,0.4524456560611725,1.309667706489563
4,19,,,0.44347038865089417,1.4737613201141357,,,
5,23,,,,,,0.3899456560611725,1.2553080320358276
5,23,,,0.43908706307411194,1.3940492868423462,,,
6,27,,,,,,0.44021740555763245,1.2014135122299194
6,27,,,0.4353083372116089,1.3240479230880737,,,
7,31,,,,,,0.563858687877655,1.1443125009536743
7,31,,,0.48004835844039917,1.2584251165390015,,,
8,35,,,,,,0.5176630616188049,1.0849943161010742
8,35,,,0.5064994096755981,1.1924316883087158,,,
9,39,,,,,,0.61548912525177,1.0186771154403687
9,39,,,0.577841579914093,1.1241625547409058,,,
10,43,,,,,,0.7038043737411499,0.9447169303894043
10,43,,,0.6866686940193176,1.0527106523513794,,,
11,47,,,,,,0.82201087474823,0.8563270568847656
11,47,,,0.7277811169624329,0.9753051400184631,,,
12,51,,,,,,0.85326087474823,0.7583569884300232
12,51,,,0.761033833026886,0.8915153741836548,,,
13,55,,,,,,0.8682065010070801,0.662320077419281
13,55,,,0.8237605690956116,0.7962931394577026,,,
14,59,,,,,,0.898097813129425,0.5606456398963928
14,59,,,0.8550483584403992,0.6978957056999207,,,
15,63,,,,,,0.88451087474823,0.47539934515953064
15,63,,,0.8769649267196655,0.5929362773895264,,,
16,67,,,,,,0.90625,0.38255396485328674
16,67,,,0.8961608409881592,0.48749619722366333,,,
17,71,,,,,,0.904891312122345,0.3163391649723053
17,71,,,0.9138452410697937,0.3914535939693451,,,
18,75,,,,,,0.895380437374115,0.28724339604377747
18,75,,,0.928204357624054,0.3140886723995209,,,
19,79,,,,,,0.90625,0.24460051953792572
19,79,,,0.9449818730354309,0.25088971853256226,,,
20,83,,,,,,0.904891312122345,0.24913762509822845
20,83,,,0.9540507793426514,0.20462289452552795,,,
21,87,,,,,,0.91847825050354,0.21110199391841888
21,87,,,0.9591898322105408,0.16901592910289764,,,
22,91,,,,,,0.907608687877655,0.22900977730751038
22,91,,,0.9632708430290222,0.14380958676338196,,,
23,95,,,,,,0.9347826242446899,0.17287211120128632
23,95,,,0.968561053276062,0.12565575540065765,,,
24,99,,,,,,0.9239130616188049,0.1948251724243164
24,99,,,0.9726420640945435,0.10893653333187103,,,
25,103,,,,,,0.936141312122345,0.16912876069545746
25,103,,,0.9750604629516602,0.09662899374961853,,,
26,107,,,,,,0.926630437374115,0.19010178744792938
26,107,,,0.9776299595832825,0.08638777583837509,,,
27,111,,,,,,0.9442934989929199,0.13878968358039856
27,111,,,0.9776299595832825,0.07998892664909363,,,
28,115,,,,,,0.9320651888847351,0.1744079738855362
28,115,,,0.9806529879570007,0.07325952500104904,,,
29,119,,,,,,0.9429348111152649,0.1422104388475418
29,119,,,0.9829201698303223,0.06661199778318405,,,
30,123,,,,,,0.938858687877655,0.1537969410419464
30,123,,,0.9827690720558167,0.06181176006793976,,,
31,127,,,,,,0.9442934989929199,0.1407989114522934
31,127,,,0.9860942959785461,0.05825750157237053,,,
32,131,,,,,,0.9429348111152649,0.14643901586532593
32,131,,,0.9862454533576965,0.05284949764609337,,,
33,135,,,,,,0.945652186870575,0.13132217526435852
33,135,,,0.9876058101654053,0.04985710605978966,,,
34,139,,,,,,0.9347826242446899,0.17968331277370453
34,139,,,0.9854897260665894,0.048580966889858246,,,
35,143,,,,,,0.94972825050354,0.1256684809923172
35,143,,,0.9838271141052246,0.05220314487814903,,,
36,147,,,,,,0.9334239363670349,0.1881519854068756
36,147,,,0.9851874113082886,0.05003626272082329,,,
37,151,,,,,,0.948369562625885,0.13670644164085388
37,151,,,0.9860942959785461,0.04809628054499626,,,
38,155,,,,,,0.9375,0.17076121270656586
38,155,,,0.98926842212677,0.040643345564603806,,,
39,159,,,,,,0.94972825050354,0.12159644067287445
39,159,,,0.9909310936927795,0.035341206938028336,,,
40,163,,,,,,0.9429348111152649,0.1617780178785324
40,163,,,0.9891172647476196,0.035709165036678314,,,
41,167,,,,,,0.94701087474823,0.13762426376342773
41,167,,,0.990024209022522,0.03491920605301857,,,
42,171,,,,,,0.9442934989929199,0.14596043527126312
42,171,,,0.9922913908958435,0.03146156668663025,,,
43,175,,,,,,0.9524456262588501,0.13021306693553925
43,175,,,0.9928960204124451,0.028872575610876083,,,
44,179,,,,,,0.94701087474823,0.1379723846912384
44,179,,,0.9922913908958435,0.028309021145105362,,,
45,183,,,,,,0.9429348111152649,0.15508362650871277
45,183,,,0.9938029050827026,0.02494635619223118,,,
46,187,,,,,,0.945652186870575,0.14370879530906677
46,187,,,0.9935005903244019,0.024093862622976303,,,
47,191,,,,,,0.94972825050354,0.13523192703723907
47,191,,,0.9938029050827026,0.023249991238117218,,,
48,195,,,,,,0.9442934989929199,0.14112526178359985
48,195,,,0.9948609471321106,0.022090042009949684,,,
49,199,,,,,,0.945652186870575,0.15322093665599823
49,199,,,0.9956166744232178,0.02000080794095993,,,
,0,,,,,2541.4361934661865,,
50,200,0.9402782320976257,0.20566238462924957,,,,,
