epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,12,,,,,,0.385869562625885,1.4315117597579956
0,12,,,0.30078595876693726,1.7049871683120728,,,
1,25,,,,,,0.76902174949646,1.212090253829956
1,25,,,0.457527220249176,1.4308592081069946,,,
2,38,,,,,,0.5964673757553101,0.9841711521148682
2,38,,,0.6053506731987,1.1778005361557007,,,
3,51,,,,,,0.845108687877655,0.7062047719955444
3,51,,,0.7113059163093567,0.9109423756599426,,,
4,64,,,,,,0.904891312122345,0.453824907541275
4,64,,,0.8394800424575806,0.6395053863525391,,,
5,77,,,,,,0.9116848111152649,0.2923358082771301
5,77,,,0.907496988773346,0.3946085274219513,,,
6,90,,,,,,0.9334239363670349,0.1964447945356369
6,90,,,0.9511789679527283,0.22428962588310242,,,
7,103,,,,,,0.9429348111152649,0.1701972633600235
7,103,,,0.9682587385177612,0.1371993124485016,,,
8,116,,,,,,0.9510869383811951,0.13417810201644897
8,116,,,0.9759673476219177,0.09692814201116562,,,
9,129,,,,,,0.94701087474823,0.13558675348758698
9,129,,,0.9821644425392151,0.0724216029047966,,,
10,142,,,,,,0.948369562625885,0.1468919962644577
10,142,,,0.9827690720558167,0.058182310312986374,,,
11,155,,,,,,0.95923912525177,0.11557578295469284
11,155,,,0.9882103800773621,0.046681005507707596,,,
12,168,,,,,,0.960597813129425,0.12640276551246643
12,168,,,0.9901753067970276,0.037908490747213364,,,
13,181,,,,,,0.960597813129425,0.12311627715826035
13,181,,,0.9924425482749939,0.03024476207792759,,,
14,194,,,,,,0.960597813129425,0.12750519812107086
14,194,,,0.9944074749946594,0.024364173412322998,,,
15,207,,,,,,0.960597813129425,0.13276371359825134
15,207,,,0.9956166744232178,0.020609980449080467,,,
16,220,,,,,,0.960597813129425,0.12833066284656525
16,220,,,0.996372401714325,0.017196111381053925,,,
17,233,,,,,,0.9619565010070801,0.12139113992452621
17,233,,,0.9969770312309265,0.015697922557592392,,,
18,246,,,,,,0.9551630616188049,0.14853012561798096
18,246,,,0.9971281886100769,0.01376058254390955,,,
19,259,,,,,,0.9619565010070801,0.13151487708091736
19,259,,,0.9980350732803345,0.011470790952444077,,,
20,272,,,,,,0.9660326242446899,0.11865077167749405
20,272,,,0.9983373880386353,0.009690104983747005,,,
21,285,,,,,,0.9619565010070801,0.13307029008865356
21,285,,,0.9986396431922913,0.008833683095872402,,,
22,298,,,,,,0.95923912525177,0.14375902712345123
22,298,,,0.9993954300880432,0.007471821270883083,,,
23,311,,,,,,0.957880437374115,0.15337274968624115
23,311,,,0.9996976852416992,0.006105785258114338,,,
24,324,,,,,,0.9660326242446899,0.12474267184734344
24,324,,,0.9992442727088928,0.0054662697948515415,,,
25,337,,,,,,0.957880437374115,0.1525082141160965
25,337,,,0.9992442727088928,0.005151947494596243,,,
26,350,,,,,,0.95923912525177,0.1456388533115387
26,350,,,0.9998488426208496,0.004153816029429436,,,
27,363,,,,,,0.960597813129425,0.15045318007469177
27,363,,,0.9998488426208496,0.003500390565022826,,,
28,376,,,,,,0.9619565010070801,0.14970669150352478
28,376,,,0.9995465278625488,0.003933195490390062,,,
29,389,,,,,,0.95923912525177,0.15129266679286957
29,389,,,0.9995465278625488,0.0044908407144248486,,,
30,402,,,,,,0.9633151888847351,0.1414615660905838
30,402,,,0.9996976852416992,0.0030763200484216213,,,
31,415,,,,,,0.960597813129425,0.1608288437128067
31,415,,,1.0,0.002509577199816704,,,
32,428,,,,,,0.9619565010070801,0.15884235501289368
32,428,,,1.0,0.0022511465940624475,,,
33,441,,,,,,0.9619565010070801,0.16606774926185608
33,441,,,1.0,0.002037978731095791,,,
34,454,,,,,,0.9633151888847351,0.15053439140319824
34,454,,,1.0,0.0018183971988037229,,,
35,467,,,,,,0.9633151888847351,0.15292537212371826
35,467,,,1.0,0.0016048046527430415,,,
36,480,,,,,,0.960597813129425,0.16596293449401855
36,480,,,1.0,0.0014634799445047975,,,
37,493,,,,,,0.95923912525177,0.1595931202173233
37,493,,,1.0,0.0013781868619844317,,,
38,506,,,,,,0.9619565010070801,0.16324222087860107
38,506,,,1.0,0.0012356470106169581,,,
39,519,,,,,,0.9633151888847351,0.15580342710018158
39,519,,,1.0,0.001227933564223349,,,
40,532,,,,,,0.9646739363670349,0.15190286934375763
40,532,,,1.0,0.0010974849574267864,,,
41,545,,,,,,0.9619565010070801,0.1611618995666504
41,545,,,1.0,0.0010229472536593676,,,
42,558,,,,,,0.9619565010070801,0.16602835059165955
42,558,,,1.0,0.0009618496405892074,,,
43,571,,,,,,0.9646739363670349,0.15510477125644684
43,571,,,1.0,0.0009106599609367549,,,
44,584,,,,,,0.9646739363670349,0.16274496912956238
44,584,,,1.0,0.0008381897932849824,,,
45,597,,,,,,0.9646739363670349,0.16573573648929596
45,597,,,1.0,0.0008232200634665787,,,
46,610,,,,,,0.9633151888847351,0.15811075270175934
46,610,,,1.0,0.0007647810853086412,,,
47,623,,,,,,0.9646739363670349,0.15515439212322235
47,623,,,1.0,0.0007024374208413064,,,
48,636,,,,,,0.9646739363670349,0.1666385531425476
48,636,,,1.0,0.00069913559127599,,,
49,649,,,,,,0.9646739363670349,0.16364222764968872
49,649,,,1.0,0.0006672876770608127,,,
,0,,,,,1974.7209994792938,,
50,650,0.9395995736122131,0.2525099515914917,,,,,
