epoch,step,test_loss,train_loss,training_total_time,val_loss
0,12,,,,0.11807627230882645
0,12,,0.16251473128795624,,
1,25,,,,0.10778556764125824
1,25,,0.12600335478782654,,
2,38,,,,0.09293635934591293
2,38,,0.11177147924900055,,
3,51,,,,0.08094511181116104
3,51,,0.09539046138525009,,
4,64,,,,0.07062164694070816
4,64,,0.0814763605594635,,
5,77,,,,0.05646297708153725
5,77,,0.06845127046108246,,
6,90,,,,0.0432523749768734
6,90,,0.05183917284011841,,
7,103,,,,0.032560497522354126
7,103,,0.03503062203526497,,
8,116,,,,0.027142539620399475
8,116,,0.02460411749780178,,
9,129,,,,0.025649771094322205
9,129,,0.019394900649785995,,
10,142,,,,0.019836271181702614
10,142,,0.016209695488214493,,
11,155,,,,0.01951522007584572
11,155,,0.013917679898440838,,
12,168,,,,0.018424658104777336
12,168,,0.01235265377908945,,
13,181,,,,0.01743154600262642
13,181,,0.011097845621407032,,
14,194,,,,0.015826111659407616
14,194,,0.009885464794933796,,
15,207,,,,0.016324982047080994
15,207,,0.008864416740834713,,
16,220,,,,0.014328615739941597
16,220,,0.008156566880643368,,
17,233,,,,0.013284113258123398
17,233,,0.007523350417613983,,
18,246,,,,0.01671966351568699
18,246,,0.006957519333809614,,
19,259,,,,0.013462173752486706
19,259,,0.006594873499125242,,
20,272,,,,0.011839940212666988
20,272,,0.006036267150193453,,
21,285,,,,0.012728323228657246
21,285,,0.005556267220526934,,
22,298,,,,0.011238908395171165
22,298,,0.00509843323379755,,
23,311,,,,0.011357374489307404
23,311,,0.004778145346790552,,
24,324,,,,0.012304640375077724
24,324,,0.00454253563657403,,
25,337,,,,0.013403140008449554
25,337,,0.004284893628209829,,
26,350,,,,0.010495706461369991
26,350,,0.0044054328463971615,,
27,363,,,,0.010187328793108463
27,363,,0.004032892175018787,,
28,376,,,,0.011145438998937607
28,376,,0.003530356800183654,,
29,389,,,,0.010950539261102676
29,389,,0.0033490839414298534,,
30,402,,,,0.011013729497790337
30,402,,0.0032183523289859295,,
31,415,,,,0.011687829159200191
31,415,,0.0030628698877990246,,
32,428,,,,0.008585724979639053
32,428,,0.0031375521793961525,,
33,441,,,,0.01180412620306015
33,441,,0.0031905975192785263,,
34,454,,,,0.010108312591910362
34,454,,0.0027772062458097935,,
35,467,,,,0.009767117910087109
35,467,,0.002609672723338008,,
36,480,,,,0.013085253536701202
36,480,,0.0026619927957654,,
37,493,,,,0.00887810718268156
37,493,,0.002392417984083295,,
38,506,,,,0.013511084951460361
38,506,,0.0023022606037557125,,
39,519,,,,0.009209084324538708
39,519,,0.00216035102494061,,
40,532,,,,0.010902013629674911
40,532,,0.0018707962008193135,,
41,545,,,,0.010973175056278706
41,545,,0.0017879456281661987,,
42,558,,,,0.010175512172281742
42,558,,0.0017554698279127479,,
43,571,,,,0.00984970573335886
43,571,,0.0016427100636065006,,
44,584,,,,0.010424480773508549
44,584,,0.001555439899675548,,
45,597,,,,0.00984148308634758
45,597,,0.001480454346165061,,
46,610,,,,0.011088996194303036
46,610,,0.001431507058441639,,
47,623,,,,0.010484966449439526
47,623,,0.0014079499524086714,,
48,636,,,,0.009508964605629444
48,636,,0.0013300125719979405,,
49,649,,,,0.009166725911200047
49,649,,0.0012524279300123453,,
,0,,,1937.5197627544403,
50,650,0.017484232783317566,,,
