epoch,step,test_loss,train_loss,training_total_time,val_loss
0,6,,,,0.13093295693397522
0,6,,0.15104514360427856,,
1,13,,,,0.11127714812755585
1,13,,0.1340969353914261,,
2,20,,,,0.1052328497171402
2,20,,0.12285047769546509,,
3,27,,,,0.09640917927026749
3,27,,0.11266051977872849,,
4,34,,,,0.08741574734449387
4,34,,0.10212871432304382,,
5,41,,,,0.07696618884801865
5,41,,0.09033074229955673,,
6,48,,,,0.0683460533618927
6,48,,0.07920067757368088,,
7,55,,,,0.058388713747262955
7,55,,0.06877480447292328,,
8,62,,,,0.04974358156323433
8,62,,0.058028098195791245,,
9,69,,,,0.04291611537337303
9,69,,0.048017717897892,,
10,76,,,,0.0396883524954319
10,76,,0.03866852447390556,,
11,83,,,,0.03160601481795311
11,83,,0.031279101967811584,,
12,90,,,,0.028078829869627953
12,90,,0.025209467858076096,,
13,97,,,,0.02490628883242607
13,97,,0.02060646191239357,,
14,104,,,,0.022625010460615158
14,104,,0.017282802611589432,,
15,111,,,,0.022026898339390755
15,111,,0.014871272258460522,,
16,118,,,,0.018869997933506966
16,118,,0.013255270197987556,,
17,125,,,,0.017818687483668327
17,125,,0.011855336837470531,,
18,132,,,,0.01758960448205471
18,132,,0.01082589291036129,,
19,139,,,,0.01622266136109829
19,139,,0.009904319420456886,,
20,146,,,,0.017801670357584953
20,146,,0.009322332218289375,,
21,153,,,,0.016315270215272903
21,153,,0.00873353611677885,,
22,160,,,,0.01609828509390354
22,160,,0.008238416165113449,,
23,167,,,,0.014792383648455143
23,167,,0.007878938689827919,,
24,174,,,,0.013669813051819801
24,174,,0.007297392003238201,,
25,181,,,,0.01441972702741623
25,181,,0.0069016399793326855,,
26,188,,,,0.014043883420526981
26,188,,0.006629118230193853,,
27,195,,,,0.01490111742168665
27,195,,0.006313571706414223,,
28,202,,,,0.013706951402127743
28,202,,0.006020552944391966,,
29,209,,,,0.015404259786009789
29,209,,0.005688818171620369,,
30,216,,,,0.013086562976241112
30,216,,0.005602553486824036,,
31,223,,,,0.012560360133647919
31,223,,0.005356025882065296,,
32,230,,,,0.015487415716052055
32,230,,0.005205870606005192,,
33,237,,,,0.013810754753649235
33,237,,0.004970230162143707,,
34,244,,,,0.01450243592262268
34,244,,0.004716616123914719,,
35,251,,,,0.014209365472197533
35,251,,0.004496126901358366,,
36,258,,,,0.012625597417354584
36,258,,0.0043966323137283325,,
37,265,,,,0.011843846179544926
37,265,,0.004206722602248192,,
38,272,,,,0.012087874114513397
38,272,,0.003982499707490206,,
39,279,,,,0.013366824947297573
39,279,,0.003983459435403347,,
40,286,,,,0.01302928477525711
40,286,,0.0037510208785533905,,
41,293,,,,0.012879940681159496
41,293,,0.0035136593505740166,,
42,300,,,,0.01183953508734703
42,300,,0.0033641571644693613,,
43,307,,,,0.013038486242294312
43,307,,0.003244941821321845,,
44,314,,,,0.01219954714179039
44,314,,0.0031680138781666756,,
45,321,,,,0.010193084366619587
45,321,,0.0031198912765830755,,
46,328,,,,0.011230644769966602
46,328,,0.0030398352537304163,,
47,335,,,,0.013088354840874672
47,335,,0.0028681319672614336,,
48,342,,,,0.011981767602264881
48,342,,0.002733051311224699,,
49,349,,,,0.010886681266129017
49,349,,0.0026172022335231304,,
,0,,,1948.66805768013,
50,350,0.015512276440858841,,,
