epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,0,,,,,,0.16576087474822998,1.7999653816223145
0,0,,,0.17593711614608765,1.8142704963684082,,,
1,1,,,,,,0.17934782803058624,1.7841216325759888
1,1,,,0.17593711614608765,1.7976850271224976,,,
2,2,,,,,,0.167119562625885,1.77064049243927
2,2,,,0.17608827352523804,1.78683602809906,,,
3,3,,,,,,0.29483696818351746,1.7578951120376587
3,3,,,0.16883313655853271,1.7786524295806885,,,
4,4,,,,,,0.26766303181648254,1.7447402477264404
4,4,,,0.2241535633802414,1.7736802101135254,,,
5,5,,,,,,0.27173912525177,1.7300139665603638
5,5,,,0.23579202592372894,1.769156575202942,,,
6,6,,,,,,0.33016303181648254,1.7126414775848389
6,6,,,0.25362756848335266,1.7637258768081665,,,
7,7,,,,,,0.34375,1.6925764083862305
7,7,,,0.25392985343933105,1.756949782371521,,,
8,8,,,,,,0.34510868787765503,1.6707186698913574
8,8,,,0.2626965045928955,1.7479360103607178,,,
9,9,,,,,,0.34375,1.6485730409622192
9,9,,,0.2607315480709076,1.7371764183044434,,,
10,10,,,,,,0.332880437374115,1.6273995637893677
10,10,,,0.2652660310268402,1.7245852947235107,,,
11,11,,,,,,0.33423912525177,1.6079967021942139
11,11,,,0.2631499469280243,1.7132108211517334,,,
12,12,,,,,,0.323369562625885,1.5905622243881226
12,12,,,0.26647520065307617,1.7006818056106567,,,
13,13,,,,,,0.31521740555763245,1.5748186111450195
13,13,,,0.27221885323524475,1.681989073753357,,,
14,14,,,,,,0.31521740555763245,1.5604244470596313
14,14,,,0.27161428332328796,1.6707425117492676,,,
15,15,,,,,,0.31114131212234497,1.547032356262207
15,15,,,0.27539297938346863,1.6571166515350342,,,
16,16,,,,,,0.31521740555763245,1.5343105792999268
16,16,,,0.26707980036735535,1.6433098316192627,,,
17,17,,,,,,0.32065218687057495,1.5220651626586914
17,17,,,0.2654171586036682,1.632717251777649,,,
18,18,,,,,,0.323369562625885,1.5100568532943726
18,18,,,0.26435911655426025,1.6178555488586426,,,
19,19,,,,,,0.323369562625885,1.4981976747512817
19,19,,,0.2634522318840027,1.6070090532302856,,,
20,20,,,,,,0.323369562625885,1.486412525177002
20,20,,,0.26435911655426025,1.5956557989120483,,,
21,21,,,,,,0.32201087474823,1.4746869802474976
21,21,,,0.26753324270248413,1.5801340341567993,,,
22,22,,,,,,0.323369562625885,1.463130235671997
22,22,,,0.26934704184532166,1.5694425106048584,,,
23,23,,,,,,0.32608696818351746,1.4518719911575317
23,23,,,0.2834038734436035,1.5575441122055054,,,
24,24,,,,,,0.3274456560611725,1.440922737121582
24,24,,,0.3196795582771301,1.539556860923767,,,
25,25,,,,,,0.32608696818351746,1.4303182363510132
25,25,,,0.33418983221054077,1.532114863395691,,,
26,26,,,,,,0.32608696818351746,1.4199893474578857
26,26,,,0.3491535782814026,1.5211492776870728,,,
27,27,,,,,,0.32608696818351746,1.4096382856369019
27,27,,,0.3559552729129791,1.5076699256896973,,,
28,28,,,,,,0.32608696818351746,1.399009346961975
28,28,,,0.359280526638031,1.4922608137130737,,,
29,29,,,,,,0.32608696818351746,1.3879717588424683
29,29,,,0.3591293692588806,1.4835541248321533,,,
30,30,,,,,,0.3274456560611725,1.376379370689392
30,30,,,0.36305925250053406,1.4708120822906494,,,
31,31,,,,,,0.3274456560611725,1.3642419576644897
31,31,,,0.3650241792201996,1.4595129489898682,,,
32,32,,,,,,0.3274456560611725,1.3515572547912598
32,32,,,0.37137243151664734,1.4459320306777954,,,
33,33,,,,,,0.3396739065647125,1.3382377624511719
33,33,,,0.38195285201072693,1.4347772598266602,,,
34,34,,,,,,0.3804347813129425,1.324434518814087
34,34,,,0.38875454664230347,1.4215266704559326,,,
35,35,,,,,,0.48777174949645996,1.3100816011428833
35,35,,,0.39691656827926636,1.4064441919326782,,,
36,36,,,,,,0.44972825050354004,1.2955471277236938
36,36,,,0.42518138885498047,1.3983581066131592,,,
37,37,,,,,,0.39402174949645996,1.2810794115066528
37,37,,,0.4189842939376831,1.3851372003555298,,,
38,38,,,,,,0.4021739065647125,1.2667672634124756
38,38,,,0.4322853684425354,1.3682148456573486,,,
39,39,,,,,,0.40353259444236755,1.252871036529541
39,39,,,0.4279020428657532,1.363208532333374,,,
40,40,,,,,,0.40625,1.2396546602249146
40,40,,,0.4347037374973297,1.3478628396987915,,,
41,41,,,,,,0.41576087474823,1.227116584777832
41,41,,,0.4396916627883911,1.3336764574050903,,,
42,42,,,,,,0.4225543439388275,1.2151871919631958
42,42,,,0.4458887577056885,1.3222389221191406,,,
43,43,,,,,,0.43070653080940247,1.2037029266357422
43,43,,,0.4483071267604828,1.308429479598999,,,
44,44,,,,,,0.4334239065647125,1.1924091577529907
44,44,,,0.45148125290870667,1.2944706678390503,,,
45,45,,,,,,0.43478259444236755,1.1810508966445923
45,45,,,0.4631197154521942,1.2836710214614868,,,
46,46,,,,,,0.43614131212234497,1.1693741083145142
46,46,,,0.47490930557250977,1.2709633111953735,,,
47,47,,,,,,0.44701087474823,1.157080888748169
47,47,,,0.4737001061439514,1.2550787925720215,,,
48,48,,,,,,0.47146740555763245,1.143965244293213
48,48,,,0.47581619024276733,1.2405349016189575,,,
49,49,,,,,,0.49728259444236755,1.1299278736114502
49,49,,,0.4770253896713257,1.2295517921447754,,,
50,50,,,,,,0.520380437374115,1.1144537925720215
50,50,,,0.48352479934692383,1.2126456499099731,,,
51,51,,,,,,0.542119562625885,1.097330093383789
51,51,,,0.49123337864875793,1.1968733072280884,,,
52,52,,,,,,0.573369562625885,1.0787464380264282
52,52,,,0.5101269483566284,1.1832693815231323,,,
53,53,,,,,,0.6005434989929199,1.0595301389694214
53,53,,,0.5287182331085205,1.1631672382354736,,,
54,54,,,,,,0.6209239363670349,1.0402932167053223
54,54,,,0.5477629899978638,1.1481082439422607,,,
55,55,,,,,,0.65625,1.0206345319747925
55,55,,,0.5652962327003479,1.1292246580123901,,,
56,56,,,,,,0.6847826242446899,0.9994505047798157
56,56,,,0.5965840220451355,1.1136702299118042,,,
57,57,,,,,,0.74048912525177,0.9762077927589417
57,57,,,0.6277206540107727,1.0940865278244019,,,
58,58,,,,,,0.7649456262588501,0.9513624310493469
58,58,,,0.6632406115531921,1.0741616487503052,,,
59,59,,,,,,0.773097813129425,0.9255326390266418
59,59,,,0.6883313059806824,1.050217866897583,,,
60,60,,,,,,0.7758151888847351,0.8987854719161987
60,60,,,0.6995162963867188,1.0289090871810913,,,
61,61,,,,,,0.782608687877655,0.8715555667877197
61,61,,,0.7046554088592529,1.007868766784668,,,
62,62,,,,,,0.782608687877655,0.8442888855934143
62,62,,,0.7126662731170654,0.9839761853218079,,,
63,63,,,,,,0.7880434989929199,0.8160836696624756
63,63,,,0.7297460436820984,0.959317147731781,,,
64,64,,,,,,0.792119562625885,0.7858692407608032
64,64,,,0.7311064004898071,0.9365113377571106,,,
65,65,,,,,,0.7989130616188049,0.7550405263900757
65,65,,,0.7457678318023682,0.9093871712684631,,,
66,66,,,,,,0.811141312122345,0.7260602712631226
66,66,,,0.746372401714325,0.8848018050193787,,,
67,67,,,,,,0.8288043737411499,0.6987926363945007
67,67,,,0.7595223784446716,0.8594123721122742,,,
68,68,,,,,,0.845108687877655,0.6732176542282104
68,68,,,0.7617896199226379,0.8348354697227478,,,
69,69,,,,,,0.8573369383811951,0.6477912068367004
69,69,,,0.7726722955703735,0.8081664443016052,,,
70,70,,,,,,0.8709239363670349,0.6211863160133362
70,70,,,0.7923216223716736,0.7775481939315796,,,
71,71,,,,,,0.8804348111152649,0.5932388305664062
71,71,,,0.8054715991020203,0.7497550249099731,,,
72,72,,,,,,0.883152186870575,0.5654385089874268
72,72,,,0.8166565895080566,0.7228884100914001,,,
73,73,,,,,,0.885869562625885,0.5397502779960632
73,73,,,0.8249697685241699,0.6977602243423462,,,
74,74,,,,,,0.8913043737411499,0.5178903341293335
74,74,,,0.8361547589302063,0.6712952256202698,,,
75,75,,,,,,0.898097813129425,0.4980098605155945
75,75,,,0.8426541686058044,0.6437075138092041,,,
76,76,,,,,,0.89673912525177,0.4782530665397644
76,76,,,0.8479443788528442,0.6160843968391418,,,
77,77,,,,,,0.9008151888847351,0.4523112177848816
77,77,,,0.8538391590118408,0.5932928919792175,,,
78,78,,,,,,0.907608687877655,0.42631158232688904
78,78,,,0.8657799363136292,0.5659099817276001,,,
79,79,,,,,,0.9130434989929199,0.40596625208854675
79,79,,,0.8753023147583008,0.540613055229187,,,
80,80,,,,,,0.917119562625885,0.3869970142841339
80,80,,,0.8831620216369629,0.5168715715408325,,,
81,81,,,,,,0.9225543737411499,0.36964747309684753
81,81,,,0.8861849904060364,0.49555137753486633,,,
82,82,,,,,,0.926630437374115,0.34794408082962036
82,82,,,0.8938935995101929,0.47132813930511475,,,
83,83,,,,,,0.92798912525177,0.3295021057128906
83,83,,,0.8923820853233337,0.4536004364490509,,,
84,84,,,,,,0.9307065010070801,0.31548768281936646
84,84,,,0.8973700404167175,0.4331114590167999,,,
85,85,,,,,,0.9347826242446899,0.30590537190437317
