epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time
0,0,,,0.17423830926418304,1.8020308017730713,
1,1,,,0.1855277419090271,1.7802343368530273,
2,2,,,0.18702393770217896,1.765925407409668,
3,3,,,0.20837867259979248,1.7530429363250732,
4,4,,,0.2427910715341568,1.73783278465271,
5,5,,,0.28427639603614807,1.7223765850067139,
6,6,,,0.27625134587287903,1.704243540763855,
7,7,,,0.2902611494064331,1.6843633651733398,
8,8,,,0.32181718945503235,1.6646833419799805,
9,9,,,0.35092490911483765,1.6412615776062012,
10,10,,,0.3661588728427887,1.6194590330123901,
11,11,,,0.38397714495658875,1.5952640771865845,
12,12,,,0.41090860962867737,1.5695669651031494,
13,13,,,0.4260065257549286,1.5470274686813354,
14,14,,,0.4139009714126587,1.52392578125,
15,15,,,0.4489934742450714,1.5013720989227295,
16,16,,,0.4529379904270172,1.477753758430481,
17,17,,,0.4576985836029053,1.4592429399490356,
18,18,,,0.4299510419368744,1.4400383234024048,
19,19,,,0.4371599555015564,1.418549656867981,
20,20,,,0.43335145711898804,1.3990525007247925,
21,21,,,0.4375680088996887,1.3803023099899292,
22,22,,,0.42219802737236023,1.361564040184021,
23,23,,,0.43212732672691345,1.3422019481658936,
24,24,,,0.4368879199028015,1.3258898258209229,
25,25,,,0.44681718945503235,1.3086599111557007,
26,26,,,0.4519858658313751,1.2920024394989014,
27,27,,,0.4662676751613617,1.2751966714859009,
28,28,,,0.4732045829296112,1.2564961910247803,
29,29,,,0.4937432110309601,1.238825798034668,
30,30,,,0.5155059695243835,1.223254919052124,
31,31,,,0.5382208824157715,1.2070189714431763,
32,32,,,0.5387649536132812,1.1889536380767822,
33,33,,,0.5462459325790405,1.1700202226638794,
34,34,,,0.5489662885665894,1.1535238027572632,
35,35,,,0.5734493732452393,1.1345982551574707,
36,36,,,0.5997007489204407,1.1168988943099976,
37,37,,,0.6362894177436829,1.096596360206604,
38,38,,,0.6459466814994812,1.0794264078140259,
39,39,,,0.6822633147239685,1.060906171798706,
40,40,,,0.7015777826309204,1.040181040763855,
41,41,,,0.7143634557723999,1.0221227407455444,
42,42,,,0.7315016388893127,1.001848578453064,
43,43,,,0.7349020838737488,0.980346143245697,
44,44,,,0.7467355728149414,0.9618586897850037,
45,45,,,0.7637377381324768,0.9393448233604431,
46,46,,,0.7800598740577698,0.9151144027709961,
47,47,,,0.7887649536132812,0.8943954706192017,
48,48,,,0.7948857545852661,0.870283842086792,
49,49,,,0.8082154393196106,0.8468115925788879,
50,50,,,0.8199129700660706,0.8219063878059387,
51,51,,,0.8278019428253174,0.796211302280426,
52,52,,,0.8346028327941895,0.7708549499511719,
53,53,,,0.8392274379730225,0.7457148432731628,
54,54,,,0.8477964997291565,0.7184719443321228,
55,55,,,0.858133852481842,0.6903603076934814,
56,56,,,0.8662948608398438,0.6618036031723022,
57,57,,,0.8702393770217896,0.6329317688941956,
58,58,,,0.8759521245956421,0.606141209602356,
59,59,,,0.8811208009719849,0.576136589050293,
60,60,,,0.8852013349533081,0.5482102036476135,
61,61,,,0.8929542899131775,0.5188062191009521,
62,62,,,0.8978509306907654,0.492664635181427,
63,63,,,0.9030196070671082,0.46547701954841614,
64,64,,,0.9069640636444092,0.4410010278224945,
65,65,,,0.9139009714126587,0.4168015420436859,
66,66,,,0.9202938079833984,0.39302363991737366,
67,67,,,0.9239662885665894,0.37221428751945496,
68,68,,,0.9273666739463806,0.3484959602355957,
69,69,,,0.931175172328949,0.328685462474823,
70,70,,,0.9349836707115173,0.3080194890499115,
71,71,,,0.9406964182853699,0.28981098532676697,
72,72,,,0.9464091658592224,0.27316048741340637,
73,73,,,0.9468172192573547,0.25726643204689026,
74,74,,,0.9506256580352783,0.2418176680803299,
75,75,,,0.9529379606246948,0.22835227847099304,
76,76,,,0.9553862810134888,0.21426372230052948,
77,77,,,0.9590587615966797,0.2027864158153534,
78,78,,,0.9598748683929443,0.19280125200748444,
79,79,,,0.9610990285873413,0.1810149997472763,
80,80,,,0.9642274379730225,0.17008233070373535,
81,81,,,0.9668117761611938,0.1625850945711136,
82,82,,,0.966539740562439,0.1539028137922287,
83,83,,,0.9695320725440979,0.14542347192764282,
84,84,,,0.9699401259422302,0.13877631723880768,
85,85,,,0.9707562327384949,0.131397545337677,
86,86,,,0.9727964997291565,0.12567658722400665,
87,87,,,0.9727964997291565,0.12136441469192505,
88,88,,,0.9732045531272888,0.1154470443725586,
89,89,,,0.9753808379173279,0.11040112376213074,
90,90,,,0.9772850871086121,0.10450918972492218,
91,91,,,0.9786452651023865,0.1002994105219841,
92,92,,,0.9802774786949158,0.095753975212574,
93,93,,,0.9804134964942932,0.09204781800508499,
94,94,,,0.9798694252967834,0.0895901694893837,
95,95,,,0.9813656210899353,0.08473116904497147,
96,96,,,0.9804134964942932,0.08135354518890381,
97,97,,,0.9816376566886902,0.0792195051908493,
98,98,,,0.9846300482749939,0.07592037320137024,
99,99,,,0.983133852481842,0.07349427044391632,
100,100,,,0.9850381016731262,0.07073035836219788,
101,101,,,0.9835419058799744,0.06830942630767822,
