epoch,step,test_loss,train_loss,training_total_time,val_loss
0,6,,,,0.12984564900398254
0,6,,0.1873043328523636,,
1,13,,,,0.116973876953125
1,13,,0.1345672458410263,,
2,20,,,,0.11008132994174957
2,20,,0.12891577184200287,,
3,27,,,,0.10340221971273422
3,27,,0.11935775727033615,,
4,34,,,,0.09545574337244034
4,34,,0.11191149801015854,,
5,41,,,,0.08766632527112961
5,41,,0.10245820134878159,,
6,48,,,,0.08162640780210495
6,48,,0.09316312521696091,,
7,55,,,,0.07701794803142548
7,55,,0.08542363345623016,,
8,62,,,,0.0708809420466423
8,62,,0.07902421057224274,,
9,69,,,,0.06362948566675186
9,69,,0.07228051871061325,,
10,76,,,,0.054242052137851715
10,76,,0.06365415453910828,,
11,83,,,,0.04973777383565903
11,83,,0.05382862687110901,,
12,90,,,,0.04086991399526596
12,90,,0.04423113167285919,,
13,97,,,,0.03396691381931305
13,97,,0.03544870764017105,,
14,104,,,,0.03117663972079754
14,104,,0.02863381803035736,,
15,111,,,,0.027832867577672005
15,111,,0.023768814280629158,,
16,118,,,,0.025228135287761688
16,118,,0.020509226247668266,,
17,125,,,,0.023058028891682625
17,125,,0.018111461773514748,,
18,132,,,,0.021171262487769127
18,132,,0.016493193805217743,,
19,139,,,,0.020495237782597542
19,139,,0.014927654527127743,,
20,146,,,,0.01917450875043869
20,146,,0.013645060360431671,,
21,153,,,,0.0182713083922863
21,153,,0.01260538212954998,,
22,160,,,,0.018971720710396767
22,160,,0.011755106970667839,,
23,167,,,,0.01777116023004055
23,167,,0.010951347649097443,,
24,174,,,,0.01634402759373188
24,174,,0.010370790027081966,,
25,181,,,,0.016579844057559967
25,181,,0.009746630676090717,,
26,188,,,,0.016535909846425056
26,188,,0.009145239368081093,,
27,195,,,,0.014464580453932285
27,195,,0.008535351604223251,,
28,202,,,,0.015234317630529404
28,202,,0.008056665770709515,,
29,209,,,,0.014394929632544518
29,209,,0.007742786779999733,,
30,216,,,,0.013240423053503036
30,216,,0.007351528853178024,,
31,223,,,,0.01426770631223917
31,223,,0.0068653482012450695,,
32,230,,,,0.013342573307454586
32,230,,0.006681192200630903,,
33,237,,,,0.013688876293599606
33,237,,0.006446116138249636,,
34,244,,,,0.01246265321969986
34,244,,0.00599298719316721,,
35,251,,,,0.012145161628723145
35,251,,0.0057976762764155865,,
36,258,,,,0.012082251720130444
36,258,,0.005642180796712637,,
37,265,,,,0.012748652137815952
37,265,,0.00525566004216671,,
38,272,,,,0.013184071518480778
38,272,,0.005200826097279787,,
39,279,,,,0.012976217083632946
39,279,,0.004991200286895037,,
40,286,,,,0.013933959417045116
40,286,,0.004706486593931913,,
41,293,,,,0.014222037978470325
41,293,,0.0045950934290885925,,
42,300,,,,0.01393812894821167
42,300,,0.004544610623270273,,
43,307,,,,0.012029574252665043
43,307,,0.004216968081891537,,
44,314,,,,0.013149258680641651
44,314,,0.00404340447857976,,
45,321,,,,0.01226847805082798
45,321,,0.004053680691868067,,
46,328,,,,0.014024578034877777
46,328,,0.003812823910266161,,
47,335,,,,0.0131536228582263
47,335,,0.003768096910789609,,
48,342,,,,0.012883570045232773
48,342,,0.0036267596296966076,,
49,349,,,,0.011614245362579823
49,349,,0.003424221882596612,,
,0,,,2488.6795189380646,
50,350,0.01740759052336216,,,
