epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,6,,,,,,0.332880437374115,1.6012123823165894
0,6,,,0.18334341049194336,1.7627110481262207,,,
1,13,,,,,,0.64673912525177,1.4190136194229126
1,13,,,0.3545949161052704,1.6391626596450806,,,
2,20,,,,,,0.43070653080940247,1.304101824760437
2,20,,,0.4324365258216858,1.4878588914871216,,,
3,27,,,,,,0.43885868787765503,1.2121188640594482
3,27,,,0.432134211063385,1.3567957878112793,,,
4,34,,,,,,0.5557065010070801,1.1117324829101562
4,34,,,0.4844316840171814,1.2446520328521729,,,
5,41,,,,,,0.6195651888847351,1.001258373260498
5,41,,,0.5752720832824707,1.127191424369812,,,
6,48,,,,,,0.7133151888847351,0.8678036332130432
6,48,,,0.6986094117164612,1.0020452737808228,,,
7,55,,,,,,0.876358687877655,0.6984458565711975
7,55,,,0.7840084433555603,0.8593025803565979,,,
8,62,,,,,,0.8899456262588501,0.5282823443412781
8,62,,,0.8512696623802185,0.6910153031349182,,,
9,69,,,,,,0.90625,0.38133326172828674
9,69,,,0.8884522318840027,0.5140352249145508,,,
10,76,,,,,,0.88451087474823,0.32062092423439026
10,76,,,0.9197400212287903,0.3572189211845398,,,
11,83,,,,,,0.89402174949646,0.26366326212882996
11,83,,,0.942865788936615,0.250553160905838,,,
12,90,,,,,,0.9198369383811951,0.20019342005252838
12,90,,,0.9543530941009521,0.18254640698432922,,,
13,97,,,,,,0.926630437374115,0.19631195068359375
13,97,,,0.9607013463973999,0.14097346365451813,,,
14,104,,,,,,0.9116848111152649,0.2109350711107254
14,104,,,0.9694679379463196,0.11241913586854935,,,
15,111,,,,,,0.9239130616188049,0.17858676612377167
15,111,,,0.9774788618087769,0.09006286412477493,,,
16,118,,,,,,0.9415760636329651,0.15285484492778778
16,118,,,0.9797460436820984,0.07875457406044006,,,
17,125,,,,,,0.9429348111152649,0.14556968212127686
17,125,,,0.9817110300064087,0.06807783246040344,,,
18,132,,,,,,0.94701087474823,0.14036530256271362
18,132,,,0.9830713272094727,0.06141854450106621,,,
19,139,,,,,,0.9551630616188049,0.10822024196386337
19,139,,,0.9835247993469238,0.058009229600429535,,,
20,146,,,,,,0.9429348111152649,0.13529400527477264
20,146,,,0.9848851561546326,0.05241156369447708,,,
21,153,,,,,,0.945652186870575,0.14012590050697327
21,153,,,0.9883615374565125,0.04466314986348152,,,
22,160,,,,,,0.9510869383811951,0.1290086954832077
22,160,,,0.9885126948356628,0.04081442952156067,,,
23,167,,,,,,0.948369562625885,0.1388850063085556
23,167,,,0.990024209022522,0.03694407269358635,,,
24,174,,,,,,0.9524456262588501,0.10964308679103851
24,174,,,0.9916868209838867,0.0333450585603714,,,
25,181,,,,,,0.94701087474823,0.12038664519786835
25,181,,,0.9912333488464355,0.03061617910861969,,,
26,188,,,,,,0.948369562625885,0.14484769105911255
26,188,,,0.9927448630332947,0.027942825108766556,,,
27,195,,,,,,0.9538043737411499,0.13726378977298737
27,195,,,0.9938029050827026,0.025719337165355682,,,
28,202,,,,,,0.945652186870575,0.12804794311523438
28,202,,,0.9942563772201538,0.02368161827325821,,,
29,209,,,,,,0.94701087474823,0.15900076925754547
29,209,,,0.9945586323738098,0.020822688937187195,,,
30,216,,,,,,0.94701087474823,0.15823887288570404
30,216,,,0.9947097897529602,0.020724358037114143,,,
31,223,,,,,,0.94972825050354,0.13380280137062073
31,223,,,0.996372401714325,0.01800975203514099,,,
32,230,,,,,,0.948369562625885,0.1330438107252121
32,230,,,0.9968258738517761,0.01664876379072666,,,
33,237,,,,,,0.9524456262588501,0.12074454873800278
33,237,,,0.9962213039398193,0.015226741321384907,,,
34,244,,,,,,0.9510869383811951,0.140764057636261
34,244,,,0.9966747164726257,0.015194031409919262,,,
35,251,,,,,,0.9538043737411499,0.12463925033807755
35,251,,,0.9974304437637329,0.013137479312717915,,,
36,258,,,,,,0.9538043737411499,0.12983347475528717
36,258,,,0.9977327585220337,0.012496680952608585,,,
37,265,,,,,,0.9510869383811951,0.13562780618667603
37,265,,,0.9971281886100769,0.012420388869941235,,,
38,272,,,,,,0.94972825050354,0.13561506569385529
38,272,,,0.9980350732803345,0.010589353740215302,,,
39,279,,,,,,0.94701087474823,0.16122077405452728
39,279,,,0.9983373880386353,0.009107452817261219,,,
40,286,,,,,,0.9510869383811951,0.14713844656944275
40,286,,,0.9983373880386353,0.00870280060917139,,,
41,293,,,,,,0.9524456262588501,0.1443668156862259
41,293,,,0.9990931153297424,0.007793530356138945,,,
42,300,,,,,,0.9510869383811951,0.15764261782169342
42,300,,,0.9987908005714417,0.007107257377356291,,,
43,307,,,,,,0.9524456262588501,0.14938843250274658
43,307,,,0.9992442727088928,0.006081500556319952,,,
44,314,,,,,,0.94972825050354,0.16497933864593506
44,314,,,0.9995465278625488,0.005342030897736549,,,
45,321,,,,,,0.94972825050354,0.16086971759796143
45,321,,,0.9990931153297424,0.005364594049751759,,,
46,328,,,,,,0.9510869383811951,0.17167606949806213
46,328,,,1.0,0.004670302849262953,,,
47,335,,,,,,0.94972825050354,0.17012639343738556
47,335,,,0.9996976852416992,0.004048903938382864,,,
48,342,,,,,,0.9538043737411499,0.17095862329006195
48,342,,,0.9998488426208496,0.003997233230620623,,,
49,349,,,,,,0.9538043737411499,0.16024737060070038
49,349,,,1.0,0.0032878199126571417,,,
,0,,,,,1683.5031249523163,,
50,350,0.9416355490684509,0.22399449348449707,,,,,
