epoch,step,test_loss,train_loss,training_total_time,val_loss
0,0,,,,0.21550120413303375
0,0,,0.26855704188346863,,
1,1,,,,0.18193833529949188
1,1,,0.21489037573337555,,
2,2,,,,0.16279610991477966
2,2,,0.18394744396209717,,
3,3,,,,0.15036408603191376
3,3,,0.16723337769508362,,
4,4,,,,0.14123184978961945
4,4,,0.15675945580005646,,
5,5,,,,0.13484589755535126
5,5,,0.1488499492406845,,
6,6,,,,0.13035322725772858
6,6,,0.14324961602687836,,
7,7,,,,0.12696553766727448
7,7,,0.1400487869977951,,
8,8,,,,0.12409139424562454
8,8,,0.13762925565242767,,
9,9,,,,0.1215895339846611
9,9,,0.13577234745025635,,
10,10,,,,0.11963645368814468
10,10,,0.13406474888324738,,
11,11,,,,0.11835569143295288
11,11,,0.1329149603843689,,
12,12,,,,0.11761590838432312
12,12,,0.131987527012825,,
13,13,,,,0.11709898710250854
13,13,,0.13176968693733215,,
14,14,,,,0.1164712980389595
14,14,,0.13166552782058716,,
15,15,,,,0.11556396633386612
15,15,,0.13098855316638947,,
16,16,,,,0.11439304053783417
16,16,,0.1303243488073349,,
17,17,,,,0.11309785395860672
17,17,,0.12889450788497925,,
18,18,,,,0.11186785995960236
18,18,,0.1269100308418274,,
19,19,,,,0.11091352254152298
19,19,,0.12552966177463531,,
20,20,,,,0.11037373542785645
20,20,,0.12382734566926956,,
21,21,,,,0.11017531156539917
21,21,,0.1224370002746582,,
22,22,,,,0.10993503779172897
22,22,,0.12122669816017151,,
23,23,,,,0.10925019532442093
23,23,,0.12000380456447601,,
24,24,,,,0.10807293653488159
24,24,,0.11909995973110199,,
25,25,,,,0.10663943737745285
25,25,,0.11806919425725937,,
26,26,,,,0.10518339276313782
26,26,,0.11706176400184631,,
27,27,,,,0.10378830134868622
27,27,,0.11590511351823807,,
28,28,,,,0.10241037607192993
28,28,,0.11499398946762085,,
29,29,,,,0.10099132359027863
29,29,,0.11389531940221786,,
30,30,,,,0.0995643213391304
30,30,,0.11258380115032196,,
31,31,,,,0.09821271896362305
31,31,,0.1111173927783966,,
32,32,,,,0.09700796008110046
32,32,,0.10975509881973267,,
33,33,,,,0.09594162553548813
33,33,,0.10835474729537964,,
34,34,,,,0.09494508057832718
34,34,,0.1068173199892044,,
35,35,,,,0.09392623603343964
35,35,,0.10557940602302551,,
36,36,,,,0.09284792095422745
36,36,,0.1044079065322876,,
37,37,,,,0.09172850847244263
37,37,,0.10286922007799149,,
38,38,,,,0.09064596891403198
38,38,,0.1015302836894989,,
39,39,,,,0.08962462097406387
39,39,,0.09991437196731567,,
40,40,,,,0.08862362802028656
40,40,,0.09848370403051376,,
41,41,,,,0.08758387714624405
41,41,,0.09752299636602402,,
42,42,,,,0.08653434365987778
42,42,,0.09586509317159653,,
43,43,,,,0.08552555739879608
43,43,,0.09479460120201111,,
44,44,,,,0.08462946116924286
44,44,,0.09329438954591751,,
45,45,,,,0.08383816480636597
45,45,,0.09236200153827667,,
46,46,,,,0.08308921754360199
46,46,,0.09083985537290573,,
47,47,,,,0.08230040967464447
47,47,,0.08984902501106262,,
48,48,,,,0.08148449659347534
48,48,,0.08866337686777115,,
49,49,,,,0.0806913822889328
49,49,,0.08747084438800812,,
50,50,,,,0.07994823902845383
50,50,,0.08620189875364304,,
51,51,,,,0.0792120099067688
51,51,,0.08542916923761368,,
52,52,,,,0.07837774604558945
52,52,,0.08428297936916351,,
53,53,,,,0.07743022590875626
53,53,,0.08337105065584183,,
54,54,,,,0.07645700871944427
54,54,,0.08220753818750381,,
55,55,,,,0.07550965249538422
55,55,,0.08156479895114899,,
56,56,,,,0.0745791345834732
56,56,,0.0804309993982315,,
57,57,,,,0.07362858951091766
57,57,,0.07927973568439484,,
58,58,,,,0.07262825220823288
58,58,,0.0785103365778923,,
59,59,,,,0.0716269388794899
59,59,,0.07762444019317627,,
60,60,,,,0.07065308839082718
60,60,,0.07664059847593307,,
61,61,,,,0.06969431787729263
61,61,,0.07548679411411285,,
62,62,,,,0.06873323023319244
62,62,,0.07444856315851212,,
63,63,,,,0.06774365156888962
63,63,,0.07332644611597061,,
64,64,,,,0.06669105589389801
64,64,,0.07210205495357513,,
65,65,,,,0.06553827226161957
65,65,,0.07104303687810898,,
66,66,,,,0.06430736929178238
66,66,,0.0696929320693016,,
67,67,,,,0.06301002204418182
67,67,,0.0683525949716568,,
68,68,,,,0.061700861901044846
68,68,,0.06701066344976425,,
69,69,,,,0.06041087210178375
69,69,,0.06559836119413376,,
70,70,,,,0.059127140790224075
70,70,,0.06423182785511017,,
71,71,,,,0.057775046676397324
71,71,,0.06269960105419159,,
72,72,,,,0.05637373775243759
72,72,,0.061118319630622864,,
73,73,,,,0.05497987940907478
73,73,,0.059618979692459106,,
74,74,,,,0.05363921448588371
74,74,,0.05821368098258972,,
75,75,,,,0.05240819603204727
75,75,,0.05650120973587036,,
76,76,,,,0.0512663796544075
76,76,,0.05499989539384842,,
77,77,,,,0.050144776701927185
77,77,,0.05359550192952156,,
78,78,,,,0.04907742142677307
78,78,,0.051977209746837616,,
79,79,,,,0.04805653542280197
79,79,,0.05045190453529358,,
80,80,,,,0.04694685712456703
80,80,,0.04877753183245659,,
81,81,,,,0.045738402754068375
81,81,,0.047275468707084656,,
82,82,,,,0.04450422152876854
82,82,,0.0455532930791378,,
83,83,,,,0.04348587617278099
83,83,,0.044103387743234634,,
84,84,,,,0.042358238250017166
84,84,,0.042612310498952866,,
85,85,,,,0.04089391231536865
85,85,,0.0410311333835125,,
86,86,,,,0.03952478989958763
86,86,,0.03970223292708397,,
87,87,,,,0.0384543314576149
87,87,,0.037908174097537994,,
88,88,,,,0.037429165095090866
88,88,,0.03697030618786812,,
89,89,,,,0.03664403781294823
89,89,,0.035601817071437836,,
90,90,,,,0.03595723211765289
90,90,,0.03415267914533615,,
91,91,,,,0.03488821163773537
91,91,,0.0328700952231884,,
92,92,,,,0.03413957729935646
92,92,,0.03196127712726593,,
93,93,,,,0.03350388631224632
93,93,,0.03076109103858471,,
94,94,,,,0.032630790024995804
94,94,,0.029608607292175293,,
95,95,,,,0.031908996403217316
95,95,,0.028587615117430687,,
96,96,,,,0.030985737219452858
96,96,,0.0276769008487463,,
97,97,,,,0.030331673100590706
97,97,,0.026505427435040474,,
98,98,,,,0.02978627011179924
98,98,,0.025776909664273262,,
99,99,,,,0.02885180525481701
99,99,,0.025007890537381172,,
100,100,,,,0.028247185051441193
100,100,,0.024303365498781204,,
101,101,,,,0.027687130495905876
101,101,,0.023407889530062675,,
102,102,,,,0.027193577960133553
102,102,,0.023090913891792297,,
103,103,,,,0.026792878285050392
103,103,,0.02220315672457218,,
104,104,,,,0.02628876268863678
104,104,,0.02149016410112381,,
105,105,,,,0.025763198733329773
105,105,,0.020887726917862892,,
106,106,,,,0.025487136095762253
106,106,,0.020293133333325386,,
107,107,,,,0.025157006457448006
107,107,,0.019887275993824005,,
108,108,,,,0.024742519482970238
108,108,,0.019398493692278862,,
109,109,,,,0.02454514056444168
109,109,,0.018760815262794495,,
110,110,,,,0.023915378376841545
110,110,,0.018325451761484146,,
111,111,,,,0.023884592577815056
111,111,,0.0178608987480402,,
112,112,,,,0.023554565384984016
112,112,,0.01761382818222046,,
113,113,,,,0.022859830409288406
113,113,,0.017003552988171577,,
114,114,,,,0.02298910543322563
114,114,,0.01677704229950905,,
115,115,,,,0.022594202309846878
