epoch,step,train_loss,training_total_time,val_loss
0,0,0.24417804181575775,,
1,1,0.19869136810302734,,
2,2,0.16879300773143768,,
3,3,0.1491348147392273,,
4,4,0.13602034747600555,,
5,5,0.1268874555826187,,
6,6,0.12048325687646866,,
7,7,0.11640509217977524,,
8,8,0.11441304534673691,,
9,9,0.11382932960987091,,
10,10,0.11368992179632187,,
11,11,0.11322464048862457,,
12,12,0.11211903393268585,,
13,13,0.11038338392972946,,
14,14,0.10815390199422836,,
15,15,0.10561707615852356,,
16,16,0.10304486751556396,,
17,17,0.1007087379693985,,
18,18,0.09867067635059357,,
19,19,0.09675555676221848,,
20,20,0.09481555968523026,,
21,21,0.0929185301065445,,
22,22,0.0912148505449295,,
23,23,0.08970748633146286,,
24,24,0.08825594931840897,,
25,25,0.08680477738380432,,
26,26,0.08541888743638992,,
27,27,0.08412210643291473,,
28,28,0.08287905901670456,,
29,29,0.08163833618164062,,
30,30,0.08031734824180603,,
31,31,0.07891090959310532,,
32,32,0.07750865817070007,,
33,33,0.07618725299835205,,
34,34,0.07492969930171967,,
35,35,0.07362492382526398,,
36,36,0.07224710285663605,,
37,37,0.07084454596042633,,
38,38,0.06945321708917618,,
39,39,0.0681421086192131,,
40,40,0.06690727919340134,,
41,41,0.06574852764606476,,
42,42,0.06465170532464981,,
43,43,0.06358037143945694,,
44,44,0.06249682232737541,,
45,45,0.06137586012482643,,
46,46,0.06024002656340599,,
47,47,0.05909617245197296,,
48,48,0.05794498324394226,,
49,49,0.056804656982421875,,
50,50,0.05568989738821983,,
51,51,0.05457235500216484,,
52,52,0.05345741659402847,,
53,53,0.052379708737134933,,
54,54,0.05129871889948845,,
55,55,0.05017784982919693,,
56,56,0.049023982137441635,,
57,57,0.04783115163445473,,
58,58,0.04661319777369499,,
59,59,0.04539776220917702,,
60,60,0.04419766739010811,,
61,61,0.04302524775266647,,
62,62,0.041880182921886444,,
63,63,0.040773194283246994,,
64,64,0.039681993424892426,,
65,65,0.03856535255908966,,
66,66,0.03742038458585739,,
67,67,0.036246150732040405,,
68,68,0.035049792379140854,,
69,69,0.033836349844932556,,
70,70,0.03264209255576134,,
71,71,0.03148714825510979,,
72,72,0.030373064801096916,,
73,73,0.0292707160115242,,
74,74,0.028177406638860703,,
75,75,0.027108209207654,,
76,76,0.02608320862054825,,
77,77,0.025105703622102737,,
78,78,0.024175379425287247,,
79,79,0.023273050785064697,,
80,80,0.02239128015935421,,
81,81,0.021539177745580673,,
82,82,0.020727884024381638,,
83,83,0.01994224824011326,,
84,84,0.019168173894286156,,
85,85,0.018412690609693527,,
86,86,0.017684422433376312,,
87,87,0.016976583749055862,,
88,88,0.016286727041006088,,
89,89,0.01562923938035965,,
90,90,0.015011468902230263,,
91,91,0.014428101480007172,,
92,92,0.013872465118765831,,
93,93,0.013345317915081978,,
94,94,0.012850356288254261,,
95,95,0.01238887757062912,,
96,96,0.011957414448261261,,
97,97,0.01155219879001379,,
98,98,0.011174190789461136,,
99,99,0.010822948068380356,,
100,100,0.010495221242308617,,
101,101,0.01018703542649746,,
102,102,0.009899142198264599,,
103,103,0.009633561596274376,,
104,104,0.00939140934497118,,
105,105,0.009174001403152943,,
106,106,0.008973224088549614,,
107,107,0.008765112608671188,,
108,108,0.008534961380064487,,
109,109,0.008332597091794014,,
110,110,0.008177639916539192,,
111,111,0.008023016154766083,,
112,112,0.007844789884984493,,
113,113,0.0076813725754618645,,
114,114,0.00755089707672596,,
115,115,0.0074148764833807945,,
116,116,0.007262414321303368,,
117,117,0.007128657773137093,,
118,118,0.007011745125055313,,
119,119,0.006883157882839441,,
120,120,0.006751748267561197,,
121,121,0.006637938320636749,,
122,122,0.0065274424850940704,,
123,123,0.006408040877431631,,
124,124,0.0062945326790213585,,
125,125,0.006192133761942387,,
126,126,0.006086853798478842,,
127,127,0.0059781791642308235,,
128,128,0.005877162329852581,,
129,129,0.005781651008874178,,
130,130,0.005682878661900759,,
131,131,0.005584194324910641,,
132,132,0.005492090713232756,,
133,133,0.005402837414294481,,
134,134,0.005311568267643452,,
135,135,0.005221888888627291,,
136,136,0.005137105938047171,,
137,137,0.005054109264165163,,
138,138,0.004970380570739508,,
139,139,0.004888325929641724,,
140,140,0.004809840582311153,,
141,141,0.004732869099825621,,
142,142,0.004655750468373299,,
143,143,0.0045800223015248775,,
144,144,0.004507109988480806,,
145,145,0.004436001181602478,,
146,146,0.0043653640896081924,,
147,147,0.0042956010438501835,,
148,148,0.004227759782224894,,
149,149,0.004161679185926914,,
150,150,0.004096461925655603,,
151,151,0.004031820222735405,,
152,152,0.003968292847275734,,
153,153,0.0039062886498868465,,
154,154,0.0038456597831100225,,
155,155,0.0037859943695366383,,
156,156,0.0037270982284098864,,
157,157,0.0036691317800432444,,
158,158,0.0036123115569353104,,
159,159,0.0035567092709243298,,
160,160,0.0035022227093577385,,
161,161,0.003448664443567395,,
162,162,0.0033959182910621166,,
163,163,0.003343911375850439,,
164,164,0.0032926544081419706,,
165,165,0.0032421364448964596,,
166,166,0.0031923651695251465,,
167,167,0.0031433168333023787,,
168,168,0.0030949744395911694,,
169,169,0.0030473133083432913,,
170,170,0.0030003185383975506,,
171,171,0.002953985705971718,,
172,172,0.00290831271559,,
173,173,0.0028633191250264645,,
174,174,0.0028190503362566233,,
175,175,0.002775656757876277,,
176,176,0.002733502769842744,,
177,177,0.002693296642974019,,
178,178,0.0026564677245914936,,
179,179,0.0026238078717142344,,
180,180,0.002594567835330963,,
181,181,0.0025586364790797234,,
182,182,0.002509523183107376,,
183,183,0.0024534021504223347,,
184,184,0.0024116879794746637,,
185,185,0.0023862693924456835,,
186,186,0.002358299447223544,,
187,187,0.002316594123840332,,
188,188,0.0022718238178640604,,
189,189,0.00223964243195951,,
190,190,0.0022142743691802025,,
191,191,0.0021809968166053295,,
192,192,0.002141506876796484,,
193,193,0.002108267042785883,,
194,194,0.0020823529921472073,,
195,195,0.0020534261129796505,,
196,196,0.002018925966694951,,
197,197,0.0019873331766575575,,
198,198,0.0019614691846072674,,
199,199,0.001934657571837306,,
,0,,11853.060098648071,
200,200,,,0.013189001940190792
