epoch,step,train_loss,val_loss
0,0,0.2710857391357422,
1,1,0.2158576399087906,
2,2,0.18062949180603027,
3,3,0.15844327211380005,
4,4,0.14361417293548584,
5,5,0.13295210897922516,
6,6,0.12540346384048462,
7,7,0.1206856220960617,
8,8,0.11803673207759857,
9,9,0.11635897308588028,
10,10,0.1150069460272789,
11,11,0.11388491839170456,
12,12,0.11310534179210663,
13,13,0.11266642808914185,
14,14,0.11232846230268478,
15,15,0.11171505600214005,
16,16,0.11054223775863647,
17,17,0.10879061371088028,
18,18,0.10669804364442825,
19,19,0.10459522157907486,
20,20,0.10270587354898453,
21,21,0.1010599136352539,
22,22,0.09956000745296478,
23,23,0.09810049831867218,
24,24,0.09666106849908829,
25,25,0.09529958665370941,
26,26,0.0940406545996666,
27,27,0.09280463308095932,
28,28,0.09148235619068146,
29,29,0.09006322920322418,
30,30,0.08864176273345947,
31,31,0.08728521317243576,
32,32,0.0859597846865654,
33,33,0.08462594449520111,
34,34,0.0833403691649437,
35,35,0.08219820261001587,
36,36,0.08118236809968948,
37,37,0.08017674833536148,
38,38,0.0791638195514679,
39,39,0.07822183519601822,
40,40,0.07735399156808853,
41,41,0.076502725481987,
42,42,0.0756700187921524,
43,43,0.07487355172634125,
44,44,0.0740605890750885,
45,45,0.0731765478849411,
46,46,0.07225950807332993,
47,47,0.07135523110628128,
48,48,0.07041116803884506,
49,49,0.06936231255531311,
50,50,0.06823939830064774,
51,51,0.06710310280323029,
52,52,0.06595560163259506,
53,53,0.06478385627269745,
54,54,0.06359364837408066,
55,55,0.06238008290529251,
56,56,0.06113052740693092,
57,57,0.0598420649766922,
58,58,0.058523766696453094,
59,59,0.05719183012843132,
60,60,0.05584879592061043,
61,61,0.05447818338871002,
62,62,0.053086861968040466,
63,63,0.05170147493481636,
64,64,0.05030309781432152,
65,65,0.048874594271183014,
66,66,0.04744794964790344,
67,67,0.04602409154176712,
68,68,0.044581037014722824,
69,69,0.04313725605607033,
70,70,0.041694384068250656,
71,71,0.04024381935596466,
72,72,0.03879942744970322,
73,73,0.037360310554504395,
74,74,0.03593951091170311,
75,75,0.03454916179180145,
76,76,0.033179812133312225,
77,77,0.03185607120394707,
78,78,0.030586106702685356,
79,79,0.029369471594691277,
80,80,0.028217872604727745,
81,81,0.027118390426039696,
82,82,0.02608116902410984,
83,83,0.025112880393862724,
84,84,0.024216152727603912,
85,85,0.023385439068078995,
86,86,0.022614549845457077,
87,87,0.021893711760640144,
88,88,0.021219441667199135,
89,89,0.020574310794472694,
90,90,0.019957223907113075,
91,91,0.01936136931180954,
92,92,0.018786154687404633,
93,93,0.01823127456009388,
94,94,0.017697546631097794,
95,95,0.017188960686326027,
96,96,0.0167063158005476,
97,97,0.016253937035799026,
98,98,0.015829050913453102,
99,99,0.015432472340762615,
100,100,0.015061108395457268,
101,101,0.014710469171404839,
102,102,0.014377343468368053,
103,103,0.014059167355298996,
104,104,0.013755072839558125,
105,105,0.013463448733091354,
106,106,0.013183850795030594,
107,107,0.012915370985865593,
108,108,0.012657225131988525,
109,109,0.012408551760017872,
110,110,0.012168657034635544,
111,111,0.011937999166548252,
112,112,0.011716143228113651,
113,113,0.011502651497721672,
114,114,0.011297263205051422,
115,115,0.011099589988589287,
116,116,0.010908722877502441,
117,117,0.010723775252699852,
