epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,0,,,,,,0.16576087474822998,1.8025952577590942
0,0,,,0.17593711614608765,1.8199928998947144,,,
1,1,,,,,,0.16576087474822998,1.7850497961044312
1,1,,,0.17593711614608765,1.7979928255081177,,,
2,2,,,,,,0.16847826540470123,1.7716035842895508
2,2,,,0.17593711614608765,1.7848354578018188,,,
3,3,,,,,,0.1508152186870575,1.7600600719451904
3,3,,,0.17805320024490356,1.7773759365081787,,,
4,4,,,,,,0.15625,1.7484439611434937
4,4,,,0.19059854745864868,1.7724697589874268,,,
5,5,,,,,,0.17527173459529877,1.7354711294174194
5,5,,,0.1951330155134201,1.7688448429107666,,,
6,6,,,,,,0.23233695328235626,1.7205216884613037
6,6,,,0.19936516880989075,1.7648776769638062,,,
7,7,,,,,,0.292119562625885,1.7036956548690796
7,7,,,0.19951632618904114,1.7609553337097168,,,
8,8,,,,,,0.31521740555763245,1.6854901313781738
8,8,,,0.2158403843641281,1.7555254697799683,,,
9,9,,,,,,0.3179347813129425,1.6665526628494263
9,9,,,0.24803507328033447,1.748621940612793,,,
10,10,,,,,,0.3179347813129425,1.6473596096038818
10,10,,,0.26451027393341064,1.7400232553482056,,,
11,11,,,,,,0.3179347813129425,1.6285001039505005
11,11,,,0.25982466340065,1.7323449850082397,,,
12,12,,,,,,0.3179347813129425,1.6104429960250854
12,12,,,0.2546856105327606,1.722466230392456,,,
13,13,,,,,,0.3179347813129425,1.59336519241333
13,13,,,0.25423216819763184,1.7114554643630981,,,
14,14,,,,,,0.3179347813129425,1.5771629810333252
14,14,,,0.25906893610954285,1.7040375471115112,,,
15,15,,,,,,0.3179347813129425,1.561507225036621
15,15,,,0.27977630496025085,1.6865965127944946,,,
16,16,,,,,,0.31929346919059753,1.5461481809616089
16,16,,,0.29353082180023193,1.6796984672546387,,,
17,17,,,,,,0.32472825050354004,1.530765414237976
17,17,,,0.32421404123306274,1.6641395092010498,,,
18,18,,,,,,0.32608696818351746,1.5150532722473145
18,18,,,0.3415961265563965,1.652491807937622,,,
19,19,,,,,,0.33016303181648254,1.498671531677246
19,19,,,0.3467351794242859,1.6393120288848877,,,
20,20,,,,,,0.33559781312942505,1.4816304445266724
20,20,,,0.37363967299461365,1.6239120960235596,,,
21,21,,,,,,0.3396739065647125,1.4639579057693481
21,21,,,0.39192864298820496,1.6072710752487183,,,
22,22,,,,,,0.35054346919059753,1.4457851648330688
22,22,,,0.40175333619117737,1.5925757884979248,,,
23,23,,,,,,0.35733696818351746,1.4272388219833374
23,23,,,0.40764811635017395,1.5739176273345947,,,
24,24,,,,,,0.36141303181648254,1.4084454774856567
24,24,,,0.4144498109817505,1.5569084882736206,,,
25,25,,,,,,0.36548912525177,1.3895847797393799
25,25,,,0.4275997579097748,1.5423015356063843,,,
26,26,,,,,,0.375,1.3708363771438599
26,26,,,0.42321643233299255,1.5232027769088745,,,
27,27,,,,,,0.3790760934352875,1.3523778915405273
27,27,,,0.4300181269645691,1.505110263824463,,,
28,28,,,,,,0.38722825050354004,1.3342790603637695
28,28,,,0.42321643233299255,1.4868812561035156,,,
29,29,,,,,,0.395380437374115,1.3166080713272095
29,29,,,0.43394801020622253,1.472102403640747,,,
30,30,,,,,,0.4375,1.299306035041809
30,30,,,0.43576177954673767,1.4516730308532715,,,
31,31,,,,,,0.46739131212234497,1.2822972536087036
31,31,,,0.44724908471107483,1.4341906309127808,,,
32,32,,,,,,0.4850543439388275,1.2653101682662964
32,32,,,0.4561668634414673,1.4148099422454834,,,
