epoch,step,test_loss,train_loss,training_total_time,val_loss
0,0,,,,0.16500058770179749
0,0,,0.18847061693668365,,
1,1,,,,0.1505039483308792
1,1,,0.16263234615325928,,
2,2,,,,0.14361611008644104
2,2,,0.14979462325572968,,
3,3,,,,0.14085306227207184
3,3,,0.14380815625190735,,
4,4,,,,0.14018703997135162
4,4,,0.14187683165073395,,
5,5,,,,0.139638289809227
5,5,,0.14178887009620667,,
6,6,,,,0.13848640024662018
6,6,,0.141785129904747,,
7,7,,,,0.13707593083381653
7,7,,0.14121244847774506,,
8,8,,,,0.13583245873451233
8,8,,0.14067529141902924,,
9,9,,,,0.134887233376503
9,9,,0.1400182843208313,,
10,10,,,,0.13412852585315704
10,10,,0.1397448480129242,,
11,11,,,,0.13342426717281342
11,11,,0.13968123495578766,,
12,12,,,,0.13271497189998627
12,12,,0.13963104784488678,,
13,13,,,,0.13196635246276855
13,13,,0.1391046941280365,,
14,14,,,,0.13115303218364716
14,14,,0.13883207738399506,,
15,15,,,,0.13030605018138885
15,15,,0.13846400380134583,,
16,16,,,,0.12948013842105865
16,16,,0.13748370110988617,,
17,17,,,,0.12874601781368256
17,17,,0.13701769709587097,,
18,18,,,,0.12815804779529572
18,18,,0.136111319065094,,
19,19,,,,0.12775668501853943
19,19,,0.1355101466178894,,
20,20,,,,0.1275515854358673
20,20,,0.1350853145122528,,
21,21,,,,0.12749072909355164
21,21,,0.13446344435214996,,
22,22,,,,0.12742500007152557
22,22,,0.13458141684532166,,
23,23,,,,0.12722419202327728
23,23,,0.13442665338516235,,
24,24,,,,0.1268048733472824
24,24,,0.13428394496440887,,
25,25,,,,0.12614816427230835
25,25,,0.134353905916214,,
26,26,,,,0.1253211498260498
26,26,,0.13419200479984283,,
27,27,,,,0.1243654265999794
27,27,,0.13366350531578064,,
28,28,,,,0.12333030998706818
28,28,,0.1330767124891281,,
29,29,,,,0.12229922413825989
29,29,,0.13258299231529236,,
30,30,,,,0.12132109701633453
30,30,,0.1320517361164093,,
31,31,,,,0.12043065577745438
31,31,,0.13171294331550598,,
32,32,,,,0.11964873969554901
32,32,,0.13105538487434387,,
33,33,,,,0.11890265345573425
33,33,,0.130782350897789,,
34,34,,,,0.11815809458494186
34,34,,0.1300039291381836,,
35,35,,,,0.11743184924125671
35,35,,0.12933190166950226,,
36,36,,,,0.11678279936313629
36,36,,0.12872986495494843,,
37,37,,,,0.11622843891382217
37,37,,0.12822362780570984,,
38,38,,,,0.11572433263063431
38,38,,0.12693019211292267,,
39,39,,,,0.11527853459119797
39,39,,0.1268477439880371,,
40,40,,,,0.11489390581846237
40,40,,0.1262267827987671,,
41,41,,,,0.11453776061534882
41,41,,0.12533339858055115,,
42,42,,,,0.11416582763195038
42,42,,0.12482134997844696,,
43,43,,,,0.11374767869710922
43,43,,0.12413210421800613,,
44,44,,,,0.11325149238109589
44,44,,0.12309182435274124,,
45,45,,,,0.11264578998088837
45,45,,0.12258708477020264,,
46,46,,,,0.11196467280387878
46,46,,0.1218106746673584,,
47,47,,,,0.11123305559158325
47,47,,0.12087598443031311,,
48,48,,,,0.11045951396226883
48,48,,0.12018704414367676,,
49,49,,,,0.10965610295534134
49,49,,0.11966551095247269,,
50,50,,,,0.10881973057985306
50,50,,0.11898009479045868,,
51,51,,,,0.10795728862285614
51,51,,0.1179552674293518,,
52,52,,,,0.1070915088057518
52,52,,0.1173371747136116,,
53,53,,,,0.10621429234743118
53,53,,0.11625105142593384,,
54,54,,,,0.10531867295503616
54,54,,0.11567699909210205,,
55,55,,,,0.10444209724664688
55,55,,0.11481919884681702,,
56,56,,,,0.10359886288642883
56,56,,0.11397765576839447,,
57,57,,,,0.10278549045324326
57,57,,0.11315826326608658,,
58,58,,,,0.10196114331483841
58,58,,0.11225829273462296,,
59,59,,,,0.10109110176563263
59,59,,0.11103466898202896,,
60,60,,,,0.10012851655483246
60,60,,0.1101495623588562,,
61,61,,,,0.09905833750963211
61,61,,0.1093147024512291,,
62,62,,,,0.09787596762180328
62,62,,0.1082458347082138,,
63,63,,,,0.09659864753484726
63,63,,0.10720338672399521,,
64,64,,,,0.09524764865636826
64,64,,0.10619032382965088,,
65,65,,,,0.09385113418102264
65,65,,0.1049952507019043,,
66,66,,,,0.0924169048666954
66,66,,0.10398895293474197,,
67,67,,,,0.09092222154140472
67,67,,0.10253120213747025,,
68,68,,,,0.08932270109653473
68,68,,0.10160014033317566,,
69,69,,,,0.08761130273342133
69,69,,0.1003253236413002,,
70,70,,,,0.08586839586496353
70,70,,0.09857596457004547,,
71,71,,,,0.08422993868589401
71,71,,0.09680292755365372,,
72,72,,,,0.08272138237953186
72,72,,0.0955977812409401,,
73,73,,,,0.08134320378303528
73,73,,0.0940941721200943,,
74,74,,,,0.07993227988481522
74,74,,0.09244131296873093,,
75,75,,,,0.07840066403150558
75,75,,0.09070808440446854,,
76,76,,,,0.07688020914793015
76,76,,0.08894604444503784,,
77,77,,,,0.07527489215135574
77,77,,0.08716222643852234,,
78,78,,,,0.07413716614246368
78,78,,0.08562973141670227,,
79,79,,,,0.07257446646690369
79,79,,0.0835333913564682,,
80,80,,,,0.07107695937156677
80,80,,0.08200841397047043,,
81,81,,,,0.07051029801368713
81,81,,0.08055341988801956,,
82,82,,,,0.06843958795070648
82,82,,0.0786513090133667,,
83,83,,,,0.06694619357585907
83,83,,0.07702447474002838,,
84,84,,,,0.06574428826570511
84,84,,0.07541920989751816,,
85,85,,,,0.06333974748849869
85,85,,0.07362492382526398,,
86,86,,,,0.06178038567304611
86,86,,0.07180583477020264,,
87,87,,,,0.06021307781338692
87,87,,0.06995610892772675,,
88,88,,,,0.05812842771410942
88,88,,0.0684606060385704,,
89,89,,,,0.056194767355918884
89,89,,0.06654225289821625,,
90,90,,,,0.0547398217022419
90,90,,0.06454271078109741,,
91,91,,,,0.05298168212175369
91,91,,0.06323567032814026,,
92,92,,,,0.0512564480304718
92,92,,0.06154416874051094,,
93,93,,,,0.04971398413181305
93,93,,0.05994423106312752,,
94,94,,,,0.04819953069090843
94,94,,0.05828644707798958,,
95,95,,,,0.04670145362615585
95,95,,0.056869376450777054,,
96,96,,,,0.04538228362798691
96,96,,0.05549865961074829,,
97,97,,,,0.04403524845838547
97,97,,0.05396881327033043,,
98,98,,,,0.0427369549870491
98,98,,0.052425581961870193,,
99,99,,,,0.04152218624949455
99,99,,0.05121771991252899,,
100,100,,,,0.040398456156253815
100,100,,0.04990314692258835,,
101,101,,,,0.03936135396361351
101,101,,0.04862525314092636,,
102,102,,,,0.03839243948459625
102,102,,0.04745137318968773,,
103,103,,,,0.03743411973118782
103,103,,0.046280354261398315,,
104,104,,,,0.036474067717790604
104,104,,0.045363739132881165,,
105,105,,,,0.03563603013753891
105,105,,0.044191453605890274,,
106,106,,,,0.034780703485012054
106,106,,0.04336722567677498,,
107,107,,,,0.033997099846601486
107,107,,0.04249422997236252,,
108,108,,,,0.03332258760929108
108,108,,0.041623398661613464,,
109,109,,,,0.03274044767022133
109,109,,0.04075413942337036,,
110,110,,,,0.03212910145521164
110,110,,0.039938125759363174,,
111,111,,,,0.03147419914603233
111,111,,0.03922882303595543,,
112,112,,,,0.030913686379790306
112,112,,0.03834681585431099,,
113,113,,,,0.03049607202410698
113,113,,0.037681952118873596,,
114,114,,,,0.030122099444270134
114,114,,0.03701329976320267,,
115,115,,,,0.029687965288758278
115,115,,0.036404285579919815,,
116,116,,,,0.029242219403386116
116,116,,0.03574414178729057,,
117,117,,,,0.02908434346318245
117,117,,0.03523348271846771,,
118,118,,,,0.02875356748700142
118,118,,0.03447682037949562,,
119,119,,,,0.028582479804754257
119,119,,0.0339711494743824,,
120,120,,,,0.02854212000966072
120,120,,0.03343643620610237,,
121,121,,,,0.028093524277210236
121,121,,0.032836467027664185,,
122,122,,,,0.02789292111992836
122,122,,0.03230293095111847,,
123,123,,,,0.027918588370084763
123,123,,0.03164893761277199,,
124,124,,,,0.027692796662449837
124,124,,0.03129689767956734,,
125,125,,,,0.027366233989596367
125,125,,0.030605720356106758,,
126,126,,,,0.027112577110528946
126,126,,0.03022165782749653,,
127,127,,,,0.027125373482704163
127,127,,0.029755819588899612,,
128,128,,,,0.027029210701584816
128,128,,0.02931206300854683,,
129,129,,,,0.026744665578007698
129,129,,0.028849251568317413,,
130,130,,,,0.026332013309001923
130,130,,0.028343988582491875,,
131,131,,,,0.026190418750047684
131,131,,0.02805260755121708,,
132,132,,,,0.026219187304377556
132,132,,0.02768847905099392,,
133,133,,,,0.0255998857319355
133,133,,0.02730262279510498,,
134,134,,,,0.025472931563854218
134,134,,0.026852969080209732,,
135,135,,,,0.025703292340040207
135,135,,0.026429129764437675,,
136,136,,,,0.02507905662059784
136,136,,0.026083407923579216,,
137,137,,,,0.025093283504247665
137,137,,0.025926969945430756,,
138,138,,,,0.025043176487088203
138,138,,0.025573235005140305,,
139,139,,,,0.025008002296090126
139,139,,0.025308649986982346,,
140,140,,,,0.024749184027314186
140,140,,0.024899587035179138,,
141,141,,,,0.024789292365312576
141,141,,0.024761607870459557,,
142,142,,,,0.025035813450813293
142,142,,0.02448366768658161,,
143,143,,,,0.024921061471104622
143,143,,0.024126185104250908,,
144,144,,,,0.024721531197428703
144,144,,0.0239748302847147,,
145,145,,,,0.024929041042923927
145,145,,0.023784153163433075,,
146,146,,,,0.024898935109376907
146,146,,0.023518573492765427,,
147,147,,,,0.02505785971879959
147,147,,0.023399630561470985,,
148,148,,,,0.024741284549236298
148,148,,0.023219387978315353,,
149,149,,,,0.025002293288707733
149,149,,0.022987686097621918,,
150,150,,,,0.024788441136479378
150,150,,0.022737938910722733,,
151,151,,,,0.024601155892014503
151,151,,0.022687096148729324,,
152,152,,,,0.024750469252467155
152,152,,0.022473271936178207,,
153,153,,,,0.024898944422602654
153,153,,0.022345460951328278,,
154,154,,,,0.024843180552124977
154,154,,0.0222761407494545,,
155,155,,,,0.024335641413927078
155,155,,0.022080551832914352,,
156,156,,,,0.02454419806599617
156,156,,0.022024281322956085,,
157,157,,,,0.024698952212929726
157,157,,0.02181103825569153,,
158,158,,,,0.024536194279789925
158,158,,0.021800901740789413,,
159,159,,,,0.024263804778456688
159,159,,0.021585986018180847,,
160,160,,,,0.024153605103492737
160,160,,0.021521128714084625,,
161,161,,,,0.024449193850159645
161,161,,0.021364327520132065,,
162,162,,,,0.02399454079568386
162,162,,0.02126314491033554,,
163,163,,,,0.023967014625668526
163,163,,0.021179141476750374,,
164,164,,,,0.023707950487732887
164,164,,0.020990116521716118,,
165,165,,,,0.02397121489048004
165,165,,0.020931165665388107,,
166,166,,,,0.023779254406690598
166,166,,0.02073664776980877,,
167,167,,,,0.02359376847743988
167,167,,0.020617585629224777,,
168,168,,,,0.023472439497709274
168,168,,0.020464222878217697,,
169,169,,,,0.023320263251662254
169,169,,0.020371191203594208,,
170,170,,,,0.02366291731595993
170,170,,0.020199408754706383,,
171,171,,,,0.023404421284794807
171,171,,0.02001269906759262,,
172,172,,,,0.022870181128382683
172,172,,0.019929012283682823,,
173,173,,,,0.022917939350008965
173,173,,0.019770795479416847,,
174,174,,,,0.023175353184342384
174,174,,0.019555063918232918,,
175,175,,,,0.022728199139237404
175,175,,0.01936311647295952,,
176,176,,,,0.022343231365084648
176,176,,0.01919754035770893,,
177,177,,,,0.022154776379466057
177,177,,0.019013315439224243,,
178,178,,,,0.022302357479929924
178,178,,0.018727775663137436,,
179,179,,,,0.022161854431033134
179,179,,0.01847635768353939,,
180,180,,,,0.0214823167771101
180,180,,0.01827923208475113,,
181,181,,,,0.0214083194732666
181,181,,0.01797645539045334,,
182,182,,,,0.02106103114783764
182,182,,0.01775830052793026,,
183,183,,,,0.021070869639515877
183,183,,0.017473189160227776,,
184,184,,,,0.020410330966114998
184,184,,0.017144199460744858,,
185,185,,,,0.01993718184530735
185,185,,0.01684311032295227,,
186,186,,,,0.019844016060233116
186,186,,0.01651136204600334,,
187,187,,,,0.01924746297299862
187,187,,0.016216527670621872,,
188,188,,,,0.01931651309132576
188,188,,0.015863768756389618,,
189,189,,,,0.01841532438993454
189,189,,0.01555542554706335,,
190,190,,,,0.017821304500102997
190,190,,0.015174624510109425,,
191,191,,,,0.017829207703471184
191,191,,0.014910371974110603,,
192,192,,,,0.017307989299297333
192,192,,0.014549699611961842,,
193,193,,,,0.017113924026489258
193,193,,0.014221932739019394,,
194,194,,,,0.016266565769910812
194,194,,0.013869380578398705,,
195,195,,,,0.01631614938378334
195,195,,0.013528021983802319,,
196,196,,,,0.016221199184656143
196,196,,0.013208488002419472,,
197,197,,,,0.015390349552035332
197,197,,0.012929348275065422,,
198,198,,,,0.015307078137993813
198,198,,0.012642975896596909,,
199,199,,,,0.015058910474181175
199,199,,0.012336178682744503,,
,0,,,9806.408270597458,
200,200,0.021345939487218857,,,
