epoch,step,test_loss,train_loss,training_total_time,val_loss
0,0,,,,0.1590639352798462
0,0,,0.1794896274805069,,
1,1,,,,0.14577165246009827
1,1,,0.15972188115119934,,
2,2,,,,0.1380113959312439
2,2,,0.14752832055091858,,
3,3,,,,0.1351313441991806
3,3,,0.14120152592658997,,
4,4,,,,0.13495157659053802
4,4,,0.1396847665309906,,
5,5,,,,0.13475462794303894
5,5,,0.14064419269561768,,
6,6,,,,0.13418665528297424
6,6,,0.14104785025119781,,
7,7,,,,0.13309071958065033
7,7,,0.14113061130046844,,
8,8,,,,0.13113601505756378
8,8,,0.1405164897441864,,
9,9,,,,0.12863531708717346
9,9,,0.1392173171043396,,
10,10,,,,0.12619152665138245
10,10,,0.13757285475730896,,
11,11,,,,0.1242203637957573
11,11,,0.1360933929681778,,
12,12,,,,0.12271973490715027
12,12,,0.13453078269958496,,
13,13,,,,0.1214408352971077
13,13,,0.13395026326179504,,
14,14,,,,0.12018608301877975
14,14,,0.13333027064800262,,
15,15,,,,0.11890757828950882
15,15,,0.13285189867019653,,
16,16,,,,0.11765070259571075
16,16,,0.13176678121089935,,
17,17,,,,0.11645900458097458
17,17,,0.13116496801376343,,
18,18,,,,0.11532630026340485
18,18,,0.13068225979804993,,
19,19,,,,0.1142013892531395
19,19,,0.1297624260187149,,
20,20,,,,0.11305711418390274
20,20,,0.1290265917778015,,
21,21,,,,0.1118326485157013
21,21,,0.1282501220703125,,
22,22,,,,0.11048144102096558
22,22,,0.12753908336162567,,
23,23,,,,0.10899072885513306
23,23,,0.1263185292482376,,
24,24,,,,0.10740868747234344
24,24,,0.1253361999988556,,
25,25,,,,0.10583614557981491
25,25,,0.12425157427787781,,
26,26,,,,0.1044163778424263
26,26,,0.12313573062419891,,
27,27,,,,0.1032908707857132
27,27,,0.12180337309837341,,
28,28,,,,0.10256875306367874
28,28,,0.12054808437824249,,
29,29,,,,0.10213126987218857
29,29,,0.11948699504137039,,
30,30,,,,0.10159963369369507
30,30,,0.1182979941368103,,
