epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,3,,,,,,0.2241847813129425,1.6934844255447388
0,3,,,0.1797158420085907,1.7902731895446777,,,
1,7,,,,,,0.47826087474823,1.5621082782745361
1,7,,,0.26390567421913147,1.7216867208480835,,,
2,11,,,,,,0.4415760934352875,1.4448575973510742
2,11,,,0.3822551369667053,1.645009160041809,,,
3,15,,,,,,0.3600543439388275,1.3596735000610352
3,15,,,0.4139963686466217,1.5520597696304321,,,
4,19,,,,,,0.573369562625885,1.29435396194458
4,19,,,0.45662030577659607,1.45675790309906,,,
5,23,,,,,,0.635869562625885,1.2336598634719849
5,23,,,0.4927448630332947,1.371695637702942,,,
6,27,,,,,,0.595108687877655,1.1748847961425781
6,27,,,0.5773881673812866,1.2933422327041626,,,
7,31,,,,,,0.58152174949646,1.107335090637207
7,31,,,0.5796554088592529,1.2207071781158447,,,
8,35,,,,,,0.595108687877655,1.0259758234024048
8,35,,,0.621372401714325,1.1433632373809814,,,
9,39,,,,,,0.66576087474823,0.9376237392425537
9,39,,,0.6875755786895752,1.0603514909744263,,,
10,43,,,,,,0.75,0.849043071269989
10,43,,,0.7159915566444397,0.9746838212013245,,,
11,47,,,,,,0.80298912525177,0.7664318680763245
11,47,,,0.7435005903244019,0.8882830142974854,,,
12,51,,,,,,0.83423912525177,0.6840137243270874
12,51,,,0.7720677256584167,0.8030565977096558,,,
13,55,,,,,,0.8682065010070801,0.6022703647613525
13,55,,,0.8149939775466919,0.718426525592804,,,
14,59,,,,,,0.8885869383811951,0.5195767879486084
14,59,,,0.8434098958969116,0.6330556869506836,,,
15,63,,,,,,0.89402174949646,0.4467453360557556
15,63,,,0.8707678318023682,0.5444074869155884,,,
16,67,,,,,,0.914402186870575,0.37236353754997253
16,67,,,0.8932889699935913,0.4618883430957794,,,
17,71,,,,,,0.9089673757553101,0.32696178555488586
17,71,,,0.9127871990203857,0.38426536321640015,,,
18,75,,,,,,0.929347813129425,0.2582392990589142
18,75,,,0.9315296411514282,0.31917572021484375,,,
19,79,,,,,,0.9198369383811951,0.25101807713508606
19,79,,,0.9457376003265381,0.2604754865169525,,,
20,83,,,,,,0.9375,0.20469701290130615
20,83,,,0.9552599787712097,0.2156836986541748,,,
21,87,,,,,,0.929347813129425,0.20433028042316437
21,87,,,0.9608525037765503,0.18178489804267883,,,
22,91,,,,,,0.9510869383811951,0.1637742817401886
22,91,,,0.9650846719741821,0.15238423645496368,,,
23,95,,,,,,0.9442934989929199,0.17702625691890717
23,95,,,0.9703748226165771,0.1297989785671234,,,
24,99,,,,,,0.948369562625885,0.15368200838565826
24,99,,,0.9727932214736938,0.1125757098197937,,,
25,103,,,,,,0.94701087474823,0.15461334586143494
25,103,,,0.9777811169624329,0.0979633554816246,,,
26,107,,,,,,0.948369562625885,0.14950688183307648
26,107,,,0.9779322743415833,0.0874314233660698,,,
27,111,,,,,,0.94972825050354,0.14165201783180237
27,111,,,0.9820132851600647,0.07661198079586029,,,
28,115,,,,,,0.9524456262588501,0.126343235373497
28,115,,,0.9836759567260742,0.07077953964471817,,,
29,119,,,,,,0.9510869383811951,0.13484404981136322
29,119,,,0.984280526638031,0.06506992876529694,,,
30,123,,,,,,0.95652174949646,0.12603220343589783
30,123,,,0.9865477681159973,0.0572236143052578,,,
31,127,,,,,,0.9551630616188049,0.12319684773683548
31,127,,,0.987908124923706,0.051478829234838486,,,
32,131,,,,,,0.9619565010070801,0.11133275181055069
32,131,,,0.9885126948356628,0.047257862985134125,,,
33,135,,,,,,0.9538043737411499,0.1445193588733673
33,135,,,0.9880592226982117,0.047729045152664185,,,
34,139,,,,,,0.9619565010070801,0.10715197771787643
34,139,,,0.990326464176178,0.04193822294473648,,,
35,143,,,,,,0.9510869383811951,0.133221834897995
35,143,,,0.9904776215553284,0.03926524147391319,,,
36,147,,,,,,0.95923912525177,0.12353623658418655
36,147,,,0.9913845062255859,0.03496658429503441,,,
37,151,,,,,,0.9619565010070801,0.1199854388833046
37,151,,,0.9928960204124451,0.032829590141773224,,,
38,155,,,,,,0.957880437374115,0.1331234574317932
38,155,,,0.9936517477035522,0.030049070715904236,,,
39,159,,,,,,0.9619565010070801,0.1136157214641571
39,159,,,0.9941052198410034,0.028587548062205315,,,
40,163,,,,,,0.95923912525177,0.11982397735118866
40,163,,,0.995314359664917,0.02524876594543457,,,
41,167,,,,,,0.95923912525177,0.12523791193962097
41,167,,,0.9959189891815186,0.024008003994822502,,,
42,171,,,,,,0.960597813129425,0.12069511413574219
42,171,,,0.9968258738517761,0.021393142640590668,,,
43,175,,,,,,0.960597813129425,0.12370391190052032
43,175,,,0.996070146560669,0.02078760415315628,,,
44,179,,,,,,0.960597813129425,0.11434661597013474
44,179,,,0.9971281886100769,0.019251104444265366,,,
45,183,,,,,,0.95652174949646,0.1349564641714096
45,183,,,0.9968258738517761,0.018352234736084938,,,
46,187,,,,,,0.9619565010070801,0.10319261997938156
46,187,,,0.9971281886100769,0.018207814544439316,,,
47,191,,,,,,0.9524456262588501,0.1501399576663971
47,191,,,0.9971281886100769,0.016912691295146942,,,
48,195,,,,,,0.9633151888847351,0.10336165875196457
48,195,,,0.9965235590934753,0.017826003953814507,,,
49,199,,,,,,0.9551630616188049,0.139100581407547
49,199,,,0.9972793459892273,0.015823865309357643,,,
,0,,,,,1827.2408668994904,,
50,200,0.9423142075538635,0.18025174736976624,,,,,
